Compound,Concentration,Hour,Species,Variant,Value
GW2580,20000,72,Mouse,G793A,187.275155
GW2580,6666.67,72,Mouse,G793A,292.262699
GW2580,2222.22,72,Mouse,G793A,269.973454
GW2580,740.74,72,Mouse,G793A,217.298934
GW2580,246.91,72,Mouse,G793A,267.820134
GW2580,82.3,72,Mouse,G793A,382.433408
GW2580,27.43,72,Mouse,G793A,211.826427
GW2580,9.14,72,Mouse,G793A,222.844263
GW2580,3.05,72,Mouse,G793A,734.08593
GW2580,1.02,72,Mouse,G793A,868.837386
GW2580,20000,72,Mouse,G793A,131.308267
GW2580,6666.67,72,Mouse,G793A,330.71444
GW2580,2222.22,72,Mouse,G793A,758.683169
GW2580,740.74,72,Mouse,G793A,374.91574
GW2580,246.91,72,Mouse,G793A,439.872976
GW2580,82.3,72,Mouse,G793A,464.91035
GW2580,27.43,72,Mouse,G793A,990.611645
GW2580,9.14,72,Mouse,G793A,537.413694
GW2580,3.05,72,Mouse,G793A,803.217604
GW2580,1.02,72,Mouse,G793A,1392.477724
GW2580,20000,72,Mouse,G793A,130.95094
GW2580,6666.67,72,Mouse,G793A,499.114732
GW2580,2222.22,72,Mouse,G793A,621.130158
GW2580,740.74,72,Mouse,G793A,1096.709073
GW2580,246.91,72,Mouse,G793A,1101.152293
GW2580,82.3,72,Mouse,G793A,1248.426988
GW2580,27.43,72,Mouse,G793A,1104.982
GW2580,9.14,72,Mouse,G793A,1082.72532
GW2580,3.05,72,Mouse,G793A,913.013893
GW2580,1.02,72,Mouse,G793A,1141.872965
BLZ945,20000,72,Mouse,G793A,12.304141
BLZ945,6666.67,72,Mouse,G793A,38.680472
BLZ945,2222.22,72,Mouse,G793A,958.674831
BLZ945,740.74,72,Mouse,G793A,1273.306557
BLZ945,246.91,72,Mouse,G793A,1307.337174
BLZ945,82.3,72,Mouse,G793A,1337.641819
BLZ945,27.43,72,Mouse,G793A,1433.582747
BLZ945,9.14,72,Mouse,G793A,1418.206309
BLZ945,3.05,72,Mouse,G793A,1105.027465
BLZ945,1.02,72,Mouse,G793A,1363.025953
BLZ945,20000,72,Mouse,G793A,15.888146
BLZ945,6666.67,72,Mouse,G793A,31.383528
BLZ945,2222.22,72,Mouse,G793A,627.7567
BLZ945,740.74,72,Mouse,G793A,743.533697
BLZ945,246.91,72,Mouse,G793A,1278.789698
BLZ945,82.3,72,Mouse,G793A,1203.847627
BLZ945,27.43,72,Mouse,G793A,1028.769645
BLZ945,9.14,72,Mouse,G793A,1147.456465
BLZ945,3.05,72,Mouse,G793A,1098.213304
BLZ945,1.02,72,Mouse,G793A,913.21916
BLZ945,20000,72,Mouse,G793A,18.991862
BLZ945,6666.67,72,Mouse,G793A,63.32816
BLZ945,2222.22,72,Mouse,G793A,619.115385
BLZ945,740.74,72,Mouse,G793A,1133.1317
BLZ945,246.91,72,Mouse,G793A,974.915228
BLZ945,82.3,72,Mouse,G793A,1116.308232
BLZ945,27.43,72,Mouse,G793A,996.829787
BLZ945,9.14,72,Mouse,G793A,1254.194771
BLZ945,3.05,72,Mouse,G793A,1315.583634
BLZ945,1.02,72,Mouse,G793A,1347.197212
