Compound,Concentration,Hour,Species,Variant,Value
PLX3397,20000,72,Human,G795A,28.882312
PLX3397,6666.67,72,Human,G795A,61.837643
PLX3397,2222.22,72,Human,G795A,308.977078
PLX3397,740.74,72,Human,G795A,833.968303
PLX3397,246.91,72,Human,G795A,1255.827176
PLX3397,82.3,72,Human,G795A,1250.51679
PLX3397,27.43,72,Human,G795A,1006.493622
PLX3397,9.14,72,Human,G795A,1047.833619
PLX3397,3.05,72,Human,G795A,945.913293
PLX3397,1.02,72,Human,G795A,1021.139672
PLX3397,20000,72,Human,G795A,20.700184
PLX3397,6666.67,72,Human,G795A,43.222666
PLX3397,2222.22,72,Human,G795A,274.070994
PLX3397,740.74,72,Human,G795A,593.085996
PLX3397,246.91,72,Human,G795A,902.676178
PLX3397,82.3,72,Human,G795A,917.99935
PLX3397,27.43,72,Human,G795A,864.305402
PLX3397,9.14,72,Human,G795A,823.857122
PLX3397,3.05,72,Human,G795A,659.906621
PLX3397,1.02,72,Human,G795A,629.171808
PLX3397,20000,72,Human,G795A,25.770036
PLX3397,6666.67,72,Human,G795A,54.842553
PLX3397,2222.22,72,Human,G795A,229.43625
PLX3397,740.74,72,Human,G795A,419.963992
PLX3397,246.91,72,Human,G795A,734.872126
PLX3397,82.3,72,Human,G795A,722.188116
PLX3397,27.43,72,Human,G795A,671.676477
PLX3397,9.14,72,Human,G795A,765.914825
PLX3397,3.05,72,Human,G795A,612.60724
PLX3397,1.02,72,Human,G795A,566.598551
PLX5622,20000,72,Human,G795A,39.306614
PLX5622,6666.67,72,Human,G795A,66.629778
PLX5622,2222.22,72,Human,G795A,254.553002
PLX5622,740.74,72,Human,G795A,430.902955
PLX5622,246.91,72,Human,G795A,551.679714
PLX5622,82.3,72,Human,G795A,643.30496
PLX5622,27.43,72,Human,G795A,594.054009
PLX5622,9.14,72,Human,G795A,567.584618
PLX5622,3.05,72,Human,G795A,476.760928
PLX5622,1.02,72,Human,G795A,528.343493
PLX5622,20000,72,Human,G795A,45.31473
PLX5622,6666.67,72,Human,G795A,61.065678
PLX5622,2222.22,72,Human,G795A,136.220644
PLX5622,740.74,72,Human,G795A,234.960131
PLX5622,246.91,72,Human,G795A,385.17887
PLX5622,82.3,72,Human,G795A,432.750202
PLX5622,27.43,72,Human,G795A,333.517424
PLX5622,9.14,72,Human,G795A,395.50098
PLX5622,3.05,72,Human,G795A,349.113827
PLX5622,1.02,72,Human,G795A,669.572643
PLX5622,20000,72,Human,G795A,39.357148
PLX5622,6666.67,72,Human,G795A,50.307766
PLX5622,2222.22,72,Human,G795A,151.525227
PLX5622,740.74,72,Human,G795A,256.270617
PLX5622,246.91,72,Human,G795A,381.395196
PLX5622,82.3,72,Human,G795A,361.472474
PLX5622,27.43,72,Human,G795A,483.845004
PLX5622,9.14,72,Human,G795A,400.353111
PLX5622,3.05,72,Human,G795A,400.986268
PLX5622,1.02,72,Human,G795A,594.904267
