Compound,Concentration,Hour,Species,Variant,Value
GW2580,20000,72,Human,T663M,273.865124
GW2580,6666.67,72,Human,T663M,708.587378
GW2580,2222.22,72,Human,T663M,1130.520784
GW2580,740.74,72,Human,T663M,1353.799859
GW2580,246.91,72,Human,T663M,1346.0553
GW2580,82.3,72,Human,T663M,1360.306626
GW2580,27.43,72,Human,T663M,1239.491065
GW2580,9.14,72,Human,T663M,1365.496721
GW2580,3.05,72,Human,T663M,1190.675424
GW2580,1.02,72,Human,T663M,1078.390083
GW2580,20000,72,Human,T663M,337.917438
GW2580,6666.67,72,Human,T663M,678.285143
GW2580,2222.22,72,Human,T663M,887.336041
GW2580,740.74,72,Human,T663M,1060.350884
GW2580,246.91,72,Human,T663M,1176.145944
GW2580,82.3,72,Human,T663M,1093.819859
GW2580,27.43,72,Human,T663M,1108.238633
GW2580,9.14,72,Human,T663M,1131.86164
GW2580,3.05,72,Human,T663M,1025.635923
GW2580,1.02,72,Human,T663M,874.702001
GW2580,20000,72,Human,T663M,276.612691
GW2580,6666.67,72,Human,T663M,611.41843
GW2580,2222.22,72,Human,T663M,796.708091
GW2580,740.74,72,Human,T663M,927.1992
GW2580,246.91,72,Human,T663M,749.370062
GW2580,82.3,72,Human,T663M,988.789407
GW2580,27.43,72,Human,T663M,839.285982
GW2580,9.14,72,Human,T663M,807.509486
GW2580,3.05,72,Human,T663M,851.701128
GW2580,1.02,72,Human,T663M,959.806674
BLZ945,20000,72,Human,T663M,347.47544
BLZ945,6666.67,72,Human,T663M,662.406943
BLZ945,2222.22,72,Human,T663M,780.307569
BLZ945,740.74,72,Human,T663M,762.794579
BLZ945,246.91,72,Human,T663M,826.037588
BLZ945,82.3,72,Human,T663M,845.700759
BLZ945,27.43,72,Human,T663M,869.460667
BLZ945,9.14,72,Human,T663M,649.377252
BLZ945,3.05,72,Human,T663M,744.962284
BLZ945,1.02,72,Human,T663M,981.498486
BLZ945,20000,72,Human,T663M,356.386068
BLZ945,6666.67,72,Human,T663M,523.304222
BLZ945,2222.22,72,Human,T663M,518.885886
BLZ945,740.74,72,Human,T663M,557.015188
BLZ945,246.91,72,Human,T663M,632.614507
BLZ945,82.3,72,Human,T663M,605.686823
BLZ945,27.43,72,Human,T663M,549.037835
BLZ945,9.14,72,Human,T663M,452.853815
BLZ945,3.05,72,Human,T663M,681.705179
BLZ945,1.02,72,Human,T663M,827.526469
BLZ945,20000,72,Human,T663M,531.255608
BLZ945,6666.67,72,Human,T663M,539.430476
BLZ945,2222.22,72,Human,T663M,545.388628
BLZ945,740.74,72,Human,T663M,600.005589
BLZ945,246.91,72,Human,T663M,491.750924
BLZ945,82.3,72,Human,T663M,618.108142
BLZ945,27.43,72,Human,T663M,499.713072
BLZ945,9.14,72,Human,T663M,522.543522
BLZ945,3.05,72,Human,T663M,607.343397
BLZ945,1.02,72,Human,T663M,839.058019
