Compound,Concentration,Hour,Species,Variant,Value
hCSF1,200,72,Human,hWT,1565.889531
hCSF1,66.67,72,Human,hWT,1126.549203
hCSF1,22.22,72,Human,hWT,672.363024
hCSF1,7.41,72,Human,hWT,348.858611
hCSF1,2.47,72,Human,hWT,220.843857
hCSF1,0.82,72,Human,hWT,192.790834
hCSF1,0.27,72,Human,hWT,151.116883
hCSF1,0.09,72,Human,hWT,140.661603
hCSF1,0.03,72,Human,hWT,116.041178
hCSF1,0.01,72,Human,hWT,136.296622
hCSF1,200,72,Human,hWT,930.000754
hCSF1,66.67,72,Human,hWT,1071.41298
hCSF1,22.22,72,Human,hWT,654.584419
hCSF1,7.41,72,Human,hWT,200.279658
hCSF1,2.47,72,Human,hWT,233.509596
hCSF1,0.82,72,Human,hWT,183.972253
hCSF1,0.27,72,Human,hWT,128.008026
hCSF1,0.09,72,Human,hWT,119.841036
hCSF1,0.03,72,Human,hWT,122.110004
hCSF1,0.01,72,Human,hWT,100.179307
hCSF1,200,72,Human,hWT,1831.937196
hCSF1,66.67,72,Human,hWT,1290.697087
hCSF1,22.22,72,Human,hWT,627.58618
hCSF1,7.41,72,Human,hWT,291.968825
hCSF1,2.47,72,Human,hWT,209.079259
hCSF1,0.82,72,Human,hWT,176.50605
hCSF1,0.27,72,Human,hWT,144.675388
hCSF1,0.09,72,Human,hWT,134.057067
hCSF1,0.03,72,Human,hWT,115.331411
hCSF1,0.01,72,Human,hWT,120.175988
mCSF1,200,72,Human,hWT,775.021596
mCSF1,66.67,72,Human,hWT,323.766773
mCSF1,22.22,72,Human,hWT,253.902955
mCSF1,7.41,72,Human,hWT,177.17793
mCSF1,2.47,72,Human,hWT,112.894319
mCSF1,0.82,72,Human,hWT,121.466019
mCSF1,0.27,72,Human,hWT,115.907078
mCSF1,0.09,72,Human,hWT,115.545148
mCSF1,0.03,72,Human,hWT,134.590977
mCSF1,0.01,72,Human,hWT,122.819047
mCSF1,200,72,Human,hWT,203.797836
mCSF1,66.67,72,Human,hWT,293.826502
mCSF1,22.22,72,Human,hWT,161.372824
mCSF1,7.41,72,Human,hWT,96.696835
mCSF1,2.47,72,Human,hWT,113.235876
mCSF1,0.82,72,Human,hWT,106.794057
mCSF1,0.27,72,Human,hWT,72.647651
mCSF1,0.09,72,Human,hWT,101.284582
mCSF1,0.03,72,Human,hWT,115.071682
mCSF1,0.01,72,Human,hWT,115.470564
mCSF1,200,72,Human,hWT,243.2536
mCSF1,66.67,72,Human,hWT,198.636053
mCSF1,22.22,72,Human,hWT,135.7386
mCSF1,7.41,72,Human,hWT,101.875062
mCSF1,2.47,72,Human,hWT,121.793447
mCSF1,0.82,72,Human,hWT,106.142071
mCSF1,0.27,72,Human,hWT,89.902038
mCSF1,0.09,72,Human,hWT,105.18935
mCSF1,0.03,72,Human,hWT,85.357204
mCSF1,0.01,72,Human,hWT,111.183304
