Compound,Concentration,Hour,Species,Variant,Value
GW2580,20000,72,Mouse,mWT,36.422736
GW2580,6666.67,72,Mouse,mWT,22.555534
GW2580,2222.22,72,Mouse,mWT,22.831584
GW2580,740.74,72,Mouse,mWT,204.688769
GW2580,246.91,72,Mouse,mWT,815.538742
GW2580,82.3,72,Mouse,mWT,734.183252
GW2580,27.43,72,Mouse,mWT,918.41686
GW2580,9.14,72,Mouse,mWT,1102.156866
GW2580,3.05,72,Mouse,mWT,790.903488
GW2580,1.02,72,Mouse,mWT,1043.63118
GW2580,20000,72,Mouse,mWT,39.039557
GW2580,6666.67,72,Mouse,mWT,31.156248
GW2580,2222.22,72,Mouse,mWT,23.907255
GW2580,740.74,72,Mouse,mWT,153.071232
GW2580,246.91,72,Mouse,mWT,715.277458
GW2580,82.3,72,Mouse,mWT,819.615121
GW2580,27.43,72,Mouse,mWT,646.184358
GW2580,9.14,72,Mouse,mWT,857.07347
GW2580,3.05,72,Mouse,mWT,770.473784
GW2580,1.02,72,Mouse,mWT,724.853981
GW2580,20000,72,Mouse,mWT,46.606455
GW2580,6666.67,72,Mouse,mWT,29.429867
GW2580,2222.22,72,Mouse,mWT,23.744474
GW2580,740.74,72,Mouse,mWT,181.301198
GW2580,246.91,72,Mouse,mWT,393.810788
GW2580,82.3,72,Mouse,mWT,741.266999
GW2580,27.43,72,Mouse,mWT,836.460318
GW2580,9.14,72,Mouse,mWT,829.153886
GW2580,3.05,72,Mouse,mWT,707.736042
GW2580,1.02,72,Mouse,mWT,717.530263
BLZ945,20000,72,Mouse,mWT,35.929199
BLZ945,6666.67,72,Mouse,mWT,23.404404
BLZ945,2222.22,72,Mouse,mWT,18.801926
BLZ945,740.74,72,Mouse,mWT,33.444286
BLZ945,246.91,72,Mouse,mWT,198.132217
BLZ945,82.3,72,Mouse,mWT,443.895313
BLZ945,27.43,72,Mouse,mWT,540.653911
BLZ945,9.14,72,Mouse,mWT,621.285785
BLZ945,3.05,72,Mouse,mWT,637.945854
BLZ945,1.02,72,Mouse,mWT,532.013386
BLZ945,20000,72,Mouse,mWT,11.495271
BLZ945,6666.67,72,Mouse,mWT,18.394678
BLZ945,2222.22,72,Mouse,mWT,16.954966
BLZ945,740.74,72,Mouse,mWT,19.428261
BLZ945,246.91,72,Mouse,mWT,131.604725
BLZ945,82.3,72,Mouse,mWT,235.859512
BLZ945,27.43,72,Mouse,mWT,183.712602
BLZ945,9.14,72,Mouse,mWT,333.796137
BLZ945,3.05,72,Mouse,mWT,538.163973
BLZ945,1.02,72,Mouse,mWT,475.189087
BLZ945,20000,72,Mouse,mWT,21.563126
BLZ945,6666.67,72,Mouse,mWT,14.062163
BLZ945,2222.22,72,Mouse,mWT,13.856954
BLZ945,740.74,72,Mouse,mWT,18.68895
BLZ945,246.91,72,Mouse,mWT,106.967934
BLZ945,82.3,72,Mouse,mWT,119.746118
BLZ945,27.43,72,Mouse,mWT,184.598231
BLZ945,9.14,72,Mouse,mWT,312.376501
BLZ945,3.05,72,Mouse,mWT,384.414378
BLZ945,1.02,72,Mouse,mWT,430.540849
