Compound,Concentration,Hour,Species,Variant,Value
PLX3397,20000,72,Mouse,G793A,10.569003
PLX3397,6666.67,72,Mouse,G793A,10.148018
PLX3397,2222.22,72,Mouse,G793A,101.618806
PLX3397,740.74,72,Mouse,G793A,587.940095
PLX3397,246.91,72,Mouse,G793A,865.492649
PLX3397,82.3,72,Mouse,G793A,912.779419
PLX3397,27.43,72,Mouse,G793A,833.77184
PLX3397,9.14,72,Mouse,G793A,685.902752
PLX3397,3.05,72,Mouse,G793A,1035.131931
PLX3397,1.02,72,Mouse,G793A,1183.587458
PLX3397,20000,72,Mouse,G793A,10.571976
PLX3397,6666.67,72,Mouse,G793A,11.793991
PLX3397,2222.22,72,Mouse,G793A,228.900129
PLX3397,740.74,72,Mouse,G793A,683.341764
PLX3397,246.91,72,Mouse,G793A,928.230475
PLX3397,82.3,72,Mouse,G793A,681.089814
PLX3397,27.43,72,Mouse,G793A,672.608714
PLX3397,9.14,72,Mouse,G793A,884.510004
PLX3397,3.05,72,Mouse,G793A,894.054901
PLX3397,1.02,72,Mouse,G793A,926.95381
PLX3397,20000,72,Mouse,G793A,8.192169
PLX3397,6666.67,72,Mouse,G793A,14.867586
PLX3397,2222.22,72,Mouse,G793A,118.061588
PLX3397,740.74,72,Mouse,G793A,801.38515
PLX3397,246.91,72,Mouse,G793A,1117.574857
PLX3397,82.3,72,Mouse,G793A,1159.069724
PLX3397,27.43,72,Mouse,G793A,1146.347239
PLX3397,9.14,72,Mouse,G793A,1090.148385
PLX3397,3.05,72,Mouse,G793A,1164.779947
PLX3397,1.02,72,Mouse,G793A,1088.382437
PLX5622,20000,72,Mouse,G793A,15.021961
PLX5622,6666.67,72,Mouse,G793A,12.159884
PLX5622,2222.22,72,Mouse,G793A,33.877381
PLX5622,740.74,72,Mouse,G793A,749.941574
PLX5622,246.91,72,Mouse,G793A,1061.142119
PLX5622,82.3,72,Mouse,G793A,1264.212909
PLX5622,27.43,72,Mouse,G793A,1152.57801
PLX5622,9.14,72,Mouse,G793A,1153.841348
PLX5622,3.05,72,Mouse,G793A,1104.53872
PLX5622,1.02,72,Mouse,G793A,976.404505
PLX5622,20000,72,Mouse,G793A,16.521435
PLX5622,6666.67,72,Mouse,G793A,15.926864
PLX5622,2222.22,72,Mouse,G793A,36.925511
PLX5622,740.74,72,Mouse,G793A,162.641118
PLX5622,246.91,72,Mouse,G793A,917.202481
PLX5622,82.3,72,Mouse,G793A,1148.08691
PLX5622,27.43,72,Mouse,G793A,733.415647
PLX5622,9.14,72,Mouse,G793A,1087.797072
PLX5622,3.05,72,Mouse,G793A,974.997533
PLX5622,1.02,72,Mouse,G793A,671.33497
PLX5622,20000,72,Mouse,G793A,18.05973
PLX5622,6666.67,72,Mouse,G793A,23.218631
PLX5622,2222.22,72,Mouse,G793A,42.575726
PLX5622,740.74,72,Mouse,G793A,220.542287
PLX5622,246.91,72,Mouse,G793A,813.10233
PLX5622,82.3,72,Mouse,G793A,978.196864
PLX5622,27.43,72,Mouse,G793A,790.100165
PLX5622,9.14,72,Mouse,G793A,1042.691721
PLX5622,3.05,72,Mouse,G793A,907.295376
PLX5622,1.02,72,Mouse,G793A,1083.549077
