Compound,Concentration,Hour,Species,Variant,Value
hCSF1,200,72,Human,G795A,502.496561
hCSF1,66.67,72,Human,G795A,717.14244
hCSF1,22.22,72,Human,G795A,438.909785
hCSF1,7.41,72,Human,G795A,296.276826
hCSF1,2.47,72,Human,G795A,196.755875
hCSF1,0.82,72,Human,G795A,195.094647
hCSF1,0.27,72,Human,G795A,200.058955
hCSF1,0.09,72,Human,G795A,147.099366
hCSF1,0.03,72,Human,G795A,139.281688
hCSF1,0.01,72,Human,G795A,140.99792
hCSF1,200,72,Human,G795A,472.673964
hCSF1,66.67,72,Human,G795A,650.185118
hCSF1,22.22,72,Human,G795A,531.382767
hCSF1,7.41,72,Human,G795A,246.8088
hCSF1,2.47,72,Human,G795A,188.054115
hCSF1,0.82,72,Human,G795A,203.560657
hCSF1,0.27,72,Human,G795A,175.46183
hCSF1,0.09,72,Human,G795A,147.895152
hCSF1,0.03,72,Human,G795A,124.747233
hCSF1,0.01,72,Human,G795A,100.445858
hCSF1,200,72,Human,G795A,677.643085
hCSF1,66.67,72,Human,G795A,739.328246
hCSF1,22.22,72,Human,G795A,397.337294
hCSF1,7.41,72,Human,G795A,241.858634
hCSF1,2.47,72,Human,G795A,193.364605
hCSF1,0.82,72,Human,G795A,144.244961
hCSF1,0.27,72,Human,G795A,118.428199
hCSF1,0.09,72,Human,G795A,114.097734
hCSF1,0.03,72,Human,G795A,129.029183
hCSF1,0.01,72,Human,G795A,109.104044
mCSF1,200,72,Human,G795A,226.046143
mCSF1,66.67,72,Human,G795A,202.367812
mCSF1,22.22,72,Human,G795A,177.469081
mCSF1,7.41,72,Human,G795A,126.142158
mCSF1,2.47,72,Human,G795A,132.103871
mCSF1,0.82,72,Human,G795A,131.83752
mCSF1,0.27,72,Human,G795A,123.939342
mCSF1,0.09,72,Human,G795A,114.46983
mCSF1,0.03,72,Human,G795A,109.003309
mCSF1,0.01,72,Human,G795A,120.419564
mCSF1,200,72,Human,G795A,246.247737
mCSF1,66.67,72,Human,G795A,203.918439
mCSF1,22.22,72,Human,G795A,139.450762
mCSF1,7.41,72,Human,G795A,79.269882
mCSF1,2.47,72,Human,G795A,68.367718
mCSF1,0.82,72,Human,G795A,101.43329
mCSF1,0.27,72,Human,G795A,75.978421
mCSF1,0.09,72,Human,G795A,81.183706
mCSF1,0.03,72,Human,G795A,85.845291
mCSF1,0.01,72,Human,G795A,106.236595
mCSF1,200,72,Human,G795A,222.995969
mCSF1,66.67,72,Human,G795A,191.618305
mCSF1,22.22,72,Human,G795A,100.447308
mCSF1,7.41,72,Human,G795A,94.5942
mCSF1,2.47,72,Human,G795A,71.320018
mCSF1,0.82,72,Human,G795A,78.745552
mCSF1,0.27,72,Human,G795A,86.062813
mCSF1,0.09,72,Human,G795A,68.821086
mCSF1,0.03,72,Human,G795A,85.950511
mCSF1,0.01,72,Human,G795A,97.682132
