Compound,Concentration,Hour,Species,Variant,Value
GW2580,20000,72,Mouse,T661M,105.061204
GW2580,6666.67,72,Mouse,T661M,411.669074
GW2580,2222.22,72,Mouse,T661M,788.184727
GW2580,740.74,72,Mouse,T661M,913.103498
GW2580,246.91,72,Mouse,T661M,773.171785
GW2580,82.3,72,Mouse,T661M,836.21129
GW2580,27.43,72,Mouse,T661M,677.004285
GW2580,9.14,72,Mouse,T661M,638.400391
GW2580,3.05,72,Mouse,T661M,742.093182
GW2580,1.02,72,Mouse,T661M,520.365782
GW2580,20000,72,Mouse,T661M,137.953807
GW2580,6666.67,72,Mouse,T661M,551.191409
GW2580,2222.22,72,Mouse,T661M,812.620129
GW2580,740.74,72,Mouse,T661M,794.821026
GW2580,246.91,72,Mouse,T661M,932.31811
GW2580,82.3,72,Mouse,T661M,849.282748
GW2580,27.43,72,Mouse,T661M,535.721323
GW2580,9.14,72,Mouse,T661M,657.940661
GW2580,3.05,72,Mouse,T661M,541.280652
GW2580,1.02,72,Mouse,T661M,711.418427
GW2580,20000,72,Mouse,T661M,111.089957
GW2580,6666.67,72,Mouse,T661M,550.880939
GW2580,2222.22,72,Mouse,T661M,690.439196
GW2580,740.74,72,Mouse,T661M,822.313231
GW2580,246.91,72,Mouse,T661M,865.880894
GW2580,82.3,72,Mouse,T661M,788.103382
GW2580,27.43,72,Mouse,T661M,672.672258
GW2580,9.14,72,Mouse,T661M,649.304331
GW2580,3.05,72,Mouse,T661M,774.402821
GW2580,1.02,72,Mouse,T661M,718.950714
BLZ945,20000,72,Mouse,T661M,7.937773
BLZ945,6666.67,72,Mouse,T661M,22.679314
BLZ945,2222.22,72,Mouse,T661M,196.148616
BLZ945,740.74,72,Mouse,T661M,255.811024
BLZ945,246.91,72,Mouse,T661M,397.472922
BLZ945,82.3,72,Mouse,T661M,558.118051
BLZ945,27.43,72,Mouse,T661M,552.755464
BLZ945,9.14,72,Mouse,T661M,519.787555
BLZ945,3.05,72,Mouse,T661M,584.679262
BLZ945,1.02,72,Mouse,T661M,672.436385
BLZ945,20000,72,Mouse,T661M,5.739685
BLZ945,6666.67,72,Mouse,T661M,26.404501
BLZ945,2222.22,72,Mouse,T661M,98.786121
BLZ945,740.74,72,Mouse,T661M,111.868028
BLZ945,246.91,72,Mouse,T661M,244.197511
BLZ945,82.3,72,Mouse,T661M,277.533364
BLZ945,27.43,72,Mouse,T661M,312.206114
BLZ945,9.14,72,Mouse,T661M,325.050681
BLZ945,3.05,72,Mouse,T661M,469.03723
BLZ945,1.02,72,Mouse,T661M,654.699144
BLZ945,20000,72,Mouse,T661M,11.305666
BLZ945,6666.67,72,Mouse,T661M,23.425457
BLZ945,2222.22,72,Mouse,T661M,96.468153
BLZ945,740.74,72,Mouse,T661M,86.770449
BLZ945,246.91,72,Mouse,T661M,141.642575
BLZ945,82.3,72,Mouse,T661M,245.300065
BLZ945,27.43,72,Mouse,T661M,283.322314
BLZ945,9.14,72,Mouse,T661M,379.238594
BLZ945,3.05,72,Mouse,T661M,499.963444
BLZ945,1.02,72,Mouse,T661M,874.192569
