Compound,Concentration,Hour,Species,Variant,Value
PLX3397,20000,72,Human,T663M,33.798035
PLX3397,6666.67,72,Human,T663M,413.856177
PLX3397,2222.22,72,Human,T663M,674.44905
PLX3397,740.74,72,Human,T663M,1015.649754
PLX3397,246.91,72,Human,T663M,1287.396826
PLX3397,82.3,72,Human,T663M,1405.177839
PLX3397,27.43,72,Human,T663M,1386.30665
PLX3397,9.14,72,Human,T663M,1311.239826
PLX3397,3.05,72,Human,T663M,1069.406004
PLX3397,1.02,72,Human,T663M,1308.824254
PLX3397,20000,72,Human,T663M,40.706632
PLX3397,6666.67,72,Human,T663M,261.215724
PLX3397,2222.22,72,Human,T663M,635.792913
PLX3397,740.74,72,Human,T663M,797.968668
PLX3397,246.91,72,Human,T663M,1006.694464
PLX3397,82.3,72,Human,T663M,1059.559308
PLX3397,27.43,72,Human,T663M,1240.421514
PLX3397,9.14,72,Human,T663M,1084.747796
PLX3397,3.05,72,Human,T663M,1226.915048
PLX3397,1.02,72,Human,T663M,1178.436172
PLX3397,20000,72,Human,T663M,36.305654
PLX3397,6666.67,72,Human,T663M,239.218582
PLX3397,2222.22,72,Human,T663M,545.538975
PLX3397,740.74,72,Human,T663M,654.026481
PLX3397,246.91,72,Human,T663M,961.518204
PLX3397,82.3,72,Human,T663M,1050.895517
PLX3397,27.43,72,Human,T663M,840.903941
PLX3397,9.14,72,Human,T663M,1060.235837
PLX3397,3.05,72,Human,T663M,1177.523654
PLX3397,1.02,72,Human,T663M,1087.100003
PLX5622,20000,72,Human,T663M,44.461426
PLX5622,6666.67,72,Human,T663M,180.370562
PLX5622,2222.22,72,Human,T663M,426.521296
PLX5622,740.74,72,Human,T663M,594.93968
PLX5622,246.91,72,Human,T663M,824.682104
PLX5622,82.3,72,Human,T663M,971.953165
PLX5622,27.43,72,Human,T663M,957.079981
PLX5622,9.14,72,Human,T663M,969.339852
PLX5622,3.05,72,Human,T663M,912.965754
PLX5622,1.02,72,Human,T663M,975.744203
PLX5622,20000,72,Human,T663M,65.841556
PLX5622,6666.67,72,Human,T663M,177.851477
PLX5622,2222.22,72,Human,T663M,244.039489
PLX5622,740.74,72,Human,T663M,369.996735
PLX5622,246.91,72,Human,T663M,585.597714
PLX5622,82.3,72,Human,T663M,699.684008
PLX5622,27.43,72,Human,T663M,706.817808
PLX5622,9.14,72,Human,T663M,673.359128
PLX5622,3.05,72,Human,T663M,917.094616
PLX5622,1.02,72,Human,T663M,961.478453
PLX5622,20000,72,Human,T663M,58.380469
PLX5622,6666.67,72,Human,T663M,189.624773
PLX5622,2222.22,72,Human,T663M,291.795345
PLX5622,740.74,72,Human,T663M,413.802932
PLX5622,246.91,72,Human,T663M,611.868275
PLX5622,82.3,72,Human,T663M,718.810556
PLX5622,27.43,72,Human,T663M,698.351998
PLX5622,9.14,72,Human,T663M,780.659448
PLX5622,3.05,72,Human,T663M,867.168278
PLX5622,1.02,72,Human,T663M,813.574591
