Compound,Concentration,Hour,Species,Variant,Value
hCSF1,200,72,Human,T663M,1185.211551
hCSF1,66.67,72,Human,T663M,988.263888
hCSF1,22.22,72,Human,T663M,658.066807
hCSF1,7.41,72,Human,T663M,373.553564
hCSF1,2.47,72,Human,T663M,272.014402
hCSF1,0.82,72,Human,T663M,297.825297
hCSF1,0.27,72,Human,T663M,240.774946
hCSF1,0.09,72,Human,T663M,162.059426
hCSF1,0.03,72,Human,T663M,126.871447
hCSF1,0.01,72,Human,T663M,127.574291
hCSF1,200,72,Human,T663M,1594.027658
hCSF1,66.67,72,Human,T663M,797.221125
hCSF1,22.22,72,Human,T663M,670.625014
hCSF1,7.41,72,Human,T663M,295.592699
hCSF1,2.47,72,Human,T663M,220.245394
hCSF1,0.82,72,Human,T663M,172.651717
hCSF1,0.27,72,Human,T663M,164.717009
hCSF1,0.09,72,Human,T663M,82.287055
hCSF1,0.03,72,Human,T663M,114.368771
hCSF1,0.01,72,Human,T663M,122.205316
hCSF1,200,72,Human,T663M,1337.227094
hCSF1,66.67,72,Human,T663M,923.621699
hCSF1,22.22,72,Human,T663M,669.894206
hCSF1,7.41,72,Human,T663M,271.951444
hCSF1,2.47,72,Human,T663M,174.16329
hCSF1,0.82,72,Human,T663M,157.084099
hCSF1,0.27,72,Human,T663M,144.561778
hCSF1,0.09,72,Human,T663M,129.667696
hCSF1,0.03,72,Human,T663M,138.906817
hCSF1,0.01,72,Human,T663M,110.586064
mCSF1,200,72,Human,T663M,840.767593
mCSF1,66.67,72,Human,T663M,401.70099
mCSF1,22.22,72,Human,T663M,133.452809
mCSF1,7.41,72,Human,T663M,111.897082
mCSF1,2.47,72,Human,T663M,126.900878
mCSF1,0.82,72,Human,T663M,111.881509
mCSF1,0.27,72,Human,T663M,96.20092
mCSF1,0.09,72,Human,T663M,110.563769
mCSF1,0.03,72,Human,T663M,98.682037
mCSF1,0.01,72,Human,T663M,85.54626
mCSF1,200,72,Human,T663M,529.939162
mCSF1,66.67,72,Human,T663M,308.398281
mCSF1,22.22,72,Human,T663M,109.9912
mCSF1,7.41,72,Human,T663M,85.233599
mCSF1,2.47,72,Human,T663M,62.47307
mCSF1,0.82,72,Human,T663M,69.474828
mCSF1,0.27,72,Human,T663M,66.771866
mCSF1,0.09,72,Human,T663M,46.39472
mCSF1,0.03,72,Human,T663M,80.557301
mCSF1,0.01,72,Human,T663M,96.02511
mCSF1,200,72,Human,T663M,510.806063
mCSF1,66.67,72,Human,T663M,262.331866
mCSF1,22.22,72,Human,T663M,104.868561
mCSF1,7.41,72,Human,T663M,95.643581
mCSF1,2.47,72,Human,T663M,53.678493
mCSF1,0.82,72,Human,T663M,98.049429
mCSF1,0.27,72,Human,T663M,81.388019
mCSF1,0.09,72,Human,T663M,53.81861
mCSF1,0.03,72,Human,T663M,64.525596
mCSF1,0.01,72,Human,T663M,84.677662
