Compound,Concentration,Hour,Species,Variant,Value
PLX3397,20000,72,Human,hWT,26.748105
PLX3397,6666.67,72,Human,hWT,23.528497
PLX3397,2222.22,72,Human,hWT,25.988502
PLX3397,740.74,72,Human,hWT,21.385272
PLX3397,246.91,72,Human,hWT,79.350938
PLX3397,82.3,72,Human,hWT,754.805253
PLX3397,27.43,72,Human,hWT,632.743238
PLX3397,9.14,72,Human,hWT,805.937663
PLX3397,3.05,72,Human,hWT,835.00868
PLX3397,1.02,72,Human,hWT,1013.246122
PLX3397,20000,72,Human,hWT,17.250471
PLX3397,6666.67,72,Human,hWT,22.294049
PLX3397,2222.22,72,Human,hWT,26.693213
PLX3397,740.74,72,Human,hWT,14.631273
PLX3397,246.91,72,Human,hWT,87.501242
PLX3397,82.3,72,Human,hWT,381.159219
PLX3397,27.43,72,Human,hWT,715.096931
PLX3397,9.14,72,Human,hWT,699.171051
PLX3397,3.05,72,Human,hWT,684.674355
PLX3397,1.02,72,Human,hWT,870.701348
PLX3397,20000,72,Human,hWT,28.305257
PLX3397,6666.67,72,Human,hWT,23.369415
PLX3397,2222.22,72,Human,hWT,14.460098
PLX3397,740.74,72,Human,hWT,18.433622
PLX3397,246.91,72,Human,hWT,43.961146
PLX3397,82.3,72,Human,hWT,323.530704
PLX3397,27.43,72,Human,hWT,487.164509
PLX3397,9.14,72,Human,hWT,713.698013
PLX3397,3.05,72,Human,hWT,618.535213
PLX3397,1.02,72,Human,hWT,886.649838
PLX5622,20000,72,Human,hWT,45.620143
PLX5622,6666.67,72,Human,hWT,29.618031
PLX5622,2222.22,72,Human,hWT,19.693391
PLX5622,740.74,72,Human,hWT,20.801745
PLX5622,246.91,72,Human,hWT,185.718811
PLX5622,82.3,72,Human,hWT,515.369171
PLX5622,27.43,72,Human,hWT,368.777967
PLX5622,9.14,72,Human,hWT,693.020647
PLX5622,3.05,72,Human,hWT,695.919705
PLX5622,1.02,72,Human,hWT,878.374233
PLX5622,20000,72,Human,hWT,28.191987
PLX5622,6666.67,72,Human,hWT,41.104385
PLX5622,2222.22,72,Human,hWT,27.04369
PLX5622,740.74,72,Human,hWT,12.889297
PLX5622,246.91,72,Human,hWT,183.627443
PLX5622,82.3,72,Human,hWT,267.419784
PLX5622,27.43,72,Human,hWT,333.127397
PLX5622,9.14,72,Human,hWT,490.926059
PLX5622,3.05,72,Human,hWT,541.738105
PLX5622,1.02,72,Human,hWT,909.447408
PLX5622,20000,72,Human,hWT,37.144413
PLX5622,6666.67,72,Human,hWT,49.781091
PLX5622,2222.22,72,Human,hWT,28.731193
PLX5622,740.74,72,Human,hWT,20.499661
PLX5622,246.91,72,Human,hWT,93.786054
PLX5622,82.3,72,Human,hWT,251.985791
PLX5622,27.43,72,Human,hWT,339.117252
PLX5622,9.14,72,Human,hWT,470.343077
PLX5622,3.05,72,Human,hWT,475.629315
PLX5622,1.02,72,Human,hWT,804.840689
