Compound,Concentration,Hour,Species,Variant,Value
GW2580,20000,72,Human,hWT,33.717306
GW2580,6666.67,72,Human,hWT,18.169081
GW2580,2222.22,72,Human,hWT,33.618291
GW2580,740.74,72,Human,hWT,674.722505
GW2580,246.91,72,Human,hWT,867.049236
GW2580,82.3,72,Human,hWT,846.55202
GW2580,27.43,72,Human,hWT,905.865236
GW2580,9.14,72,Human,hWT,844.8759
GW2580,3.05,72,Human,hWT,757.845868
GW2580,1.02,72,Human,hWT,775.342373
GW2580,20000,72,Human,hWT,34.890593
GW2580,6666.67,72,Human,hWT,20.051198
GW2580,2222.22,72,Human,hWT,27.308083
GW2580,740.74,72,Human,hWT,235.815767
GW2580,246.91,72,Human,hWT,798.900643
GW2580,82.3,72,Human,hWT,805.584126
GW2580,27.43,72,Human,hWT,625.698328
GW2580,9.14,72,Human,hWT,756.507869
GW2580,3.05,72,Human,hWT,683.33923
GW2580,1.02,72,Human,hWT,841.702217
GW2580,20000,72,Human,hWT,30.482926
GW2580,6666.67,72,Human,hWT,22.113385
GW2580,2222.22,72,Human,hWT,27.927665
GW2580,740.74,72,Human,hWT,237.734591
GW2580,246.91,72,Human,hWT,600.167992
GW2580,82.3,72,Human,hWT,771.081033
GW2580,27.43,72,Human,hWT,772.300328
GW2580,9.14,72,Human,hWT,778.811131
GW2580,3.05,72,Human,hWT,658.050007
GW2580,1.02,72,Human,hWT,838.989131
BLZ945,20000,72,Human,hWT,19.405648
BLZ945,6666.67,72,Human,hWT,17.448456
BLZ945,2222.22,72,Human,hWT,14.850651
BLZ945,740.74,72,Human,hWT,108.262271
BLZ945,246.91,72,Human,hWT,362.006343
BLZ945,82.3,72,Human,hWT,599.647984
BLZ945,27.43,72,Human,hWT,619.811913
BLZ945,9.14,72,Human,hWT,744.857079
BLZ945,3.05,72,Human,hWT,627.466825
BLZ945,1.02,72,Human,hWT,781.541625
BLZ945,20000,72,Human,hWT,16.959759
BLZ945,6666.67,72,Human,hWT,16.427236
BLZ945,2222.22,72,Human,hWT,18.93791
BLZ945,740.74,72,Human,hWT,43.636772
BLZ945,246.91,72,Human,hWT,209.937392
BLZ945,82.3,72,Human,hWT,364.047719
BLZ945,27.43,72,Human,hWT,447.577316
BLZ945,9.14,72,Human,hWT,515.062239
BLZ945,3.05,72,Human,hWT,561.454782
BLZ945,1.02,72,Human,hWT,656.606649
BLZ945,20000,72,Human,hWT,33.032941
BLZ945,6666.67,72,Human,hWT,21.352509
BLZ945,2222.22,72,Human,hWT,22.055348
BLZ945,740.74,72,Human,hWT,98.078132
BLZ945,246.91,72,Human,hWT,138.358778
BLZ945,82.3,72,Human,hWT,330.337341
BLZ945,27.43,72,Human,hWT,279.977822
BLZ945,9.14,72,Human,hWT,373.012079
BLZ945,3.05,72,Human,hWT,495.378671
BLZ945,1.02,72,Human,hWT,754.346993
