Compound,Concentration,Hour,Species,Variant,Value
PLX3397,20000,72,Mouse,mWT,16.280075
PLX3397,6666.67,72,Mouse,mWT,20.056415
PLX3397,2222.22,72,Mouse,mWT,10.401617
PLX3397,740.74,72,Mouse,mWT,12.088018
PLX3397,246.91,72,Mouse,mWT,21.20698
PLX3397,82.3,72,Mouse,mWT,111.512807
PLX3397,27.43,72,Mouse,mWT,337.599067
PLX3397,9.14,72,Mouse,mWT,364.969121
PLX3397,3.05,72,Mouse,mWT,417.225686
PLX3397,1.02,72,Mouse,mWT,610.389396
PLX3397,20000,72,Mouse,mWT,14.732267
PLX3397,6666.67,72,Mouse,mWT,22.276922
PLX3397,2222.22,72,Mouse,mWT,16.244789
PLX3397,740.74,72,Mouse,mWT,8.172914
PLX3397,246.91,72,Mouse,mWT,23.337563
PLX3397,82.3,72,Mouse,mWT,102.755233
PLX3397,27.43,72,Mouse,mWT,256.77905
PLX3397,9.14,72,Mouse,mWT,382.868085
PLX3397,3.05,72,Mouse,mWT,468.430772
PLX3397,1.02,72,Mouse,mWT,450.305161
PLX3397,20000,72,Mouse,mWT,20.46756
PLX3397,6666.67,72,Mouse,mWT,31.142272
PLX3397,2222.22,72,Mouse,mWT,22.45582
PLX3397,740.74,72,Mouse,mWT,15.67175
PLX3397,246.91,72,Mouse,mWT,32.638713
PLX3397,82.3,72,Mouse,mWT,102.365047
PLX3397,27.43,72,Mouse,mWT,285.430823
PLX3397,9.14,72,Mouse,mWT,500.569421
PLX3397,3.05,72,Mouse,mWT,626.292081
PLX3397,1.02,72,Mouse,mWT,515.716816
PLX5622,20000,72,Mouse,mWT,36.816286
PLX5622,6666.67,72,Mouse,mWT,25.241663
PLX5622,2222.22,72,Mouse,mWT,17.878554
PLX5622,740.74,72,Mouse,mWT,23.805339
PLX5622,246.91,72,Mouse,mWT,42.126397
PLX5622,82.3,72,Mouse,mWT,398.032923
PLX5622,27.43,72,Mouse,mWT,687.620983
PLX5622,9.14,72,Mouse,mWT,790.160491
PLX5622,3.05,72,Mouse,mWT,704.713073
PLX5622,1.02,72,Mouse,mWT,935.152082
PLX5622,20000,72,Mouse,mWT,19.160894
PLX5622,6666.67,72,Mouse,mWT,24.400216
PLX5622,2222.22,72,Mouse,mWT,28.935442
PLX5622,740.74,72,Mouse,mWT,19.295906
PLX5622,246.91,72,Mouse,mWT,24.464425
PLX5622,82.3,72,Mouse,mWT,205.245106
PLX5622,27.43,72,Mouse,mWT,282.787211
PLX5622,9.14,72,Mouse,mWT,488.905676
PLX5622,3.05,72,Mouse,mWT,781.215238
PLX5622,1.02,72,Mouse,mWT,764.391943
PLX5622,20000,72,Mouse,mWT,33.670411
PLX5622,6666.67,72,Mouse,mWT,24.798621
PLX5622,2222.22,72,Mouse,mWT,21.110482
PLX5622,740.74,72,Mouse,mWT,18.678342
PLX5622,246.91,72,Mouse,mWT,20.690219
PLX5622,82.3,72,Mouse,mWT,141.792099
PLX5622,27.43,72,Mouse,mWT,417.052248
PLX5622,9.14,72,Mouse,mWT,544.246107
PLX5622,3.05,72,Mouse,mWT,340.073586
PLX5622,1.02,72,Mouse,mWT,953.948077
