Compound,Concentration,Hour,Species,Variant,Value
hCSF1,200,72,Mouse,mWT,774.830137
hCSF1,66.67,72,Mouse,mWT,905.420644
hCSF1,22.22,72,Mouse,mWT,553.473516
hCSF1,7.41,72,Mouse,mWT,426.194925
hCSF1,2.47,72,Mouse,mWT,212.560151
hCSF1,0.82,72,Mouse,mWT,149.075732
hCSF1,0.27,72,Mouse,mWT,113.194879
hCSF1,0.09,72,Mouse,mWT,69.952727
hCSF1,0.03,72,Mouse,mWT,64.458591
hCSF1,0.01,72,Mouse,mWT,34.375822
hCSF1,200,72,Mouse,mWT,428.827534
hCSF1,66.67,72,Mouse,mWT,798.116718
hCSF1,22.22,72,Mouse,mWT,514.379588
hCSF1,7.41,72,Mouse,mWT,274.165314
hCSF1,2.47,72,Mouse,mWT,204.717075
hCSF1,0.82,72,Mouse,mWT,109.493743
hCSF1,0.27,72,Mouse,mWT,72.590484
hCSF1,0.09,72,Mouse,mWT,64.364424
hCSF1,0.03,72,Mouse,mWT,47.463943
hCSF1,0.01,72,Mouse,mWT,34.933179
hCSF1,200,72,Mouse,mWT,1081.293318
hCSF1,66.67,72,Mouse,mWT,597.969186
hCSF1,22.22,72,Mouse,mWT,427.471786
hCSF1,7.41,72,Mouse,mWT,273.924997
hCSF1,2.47,72,Mouse,mWT,148.152649
hCSF1,0.82,72,Mouse,mWT,103.992948
hCSF1,0.27,72,Mouse,mWT,45.665185
hCSF1,0.09,72,Mouse,mWT,42.229816
hCSF1,0.03,72,Mouse,mWT,50.365421
hCSF1,0.01,72,Mouse,mWT,24.318422
mCSF1,200,72,Mouse,mWT,557.520282
mCSF1,66.67,72,Mouse,mWT,835.322704
mCSF1,22.22,72,Mouse,mWT,518.825136
mCSF1,7.41,72,Mouse,mWT,223.946546
mCSF1,2.47,72,Mouse,mWT,98.645743
mCSF1,0.82,72,Mouse,mWT,94.215094
mCSF1,0.27,72,Mouse,mWT,50.198603
mCSF1,0.09,72,Mouse,mWT,41.382871
mCSF1,0.03,72,Mouse,mWT,32.521955
mCSF1,0.01,72,Mouse,mWT,30.884393
mCSF1,200,72,Mouse,mWT,939.687289
mCSF1,66.67,72,Mouse,mWT,845.662745
mCSF1,22.22,72,Mouse,mWT,310.173647
mCSF1,7.41,72,Mouse,mWT,160.174713
mCSF1,2.47,72,Mouse,mWT,56.213357
mCSF1,0.82,72,Mouse,mWT,46.068948
mCSF1,0.27,72,Mouse,mWT,34.318651
mCSF1,0.09,72,Mouse,mWT,34.329319
mCSF1,0.03,72,Mouse,mWT,24.119108
mCSF1,0.01,72,Mouse,mWT,24.61612
mCSF1,200,72,Mouse,mWT,725.565823
mCSF1,66.67,72,Mouse,mWT,537.012491
mCSF1,22.22,72,Mouse,mWT,253.946395
mCSF1,7.41,72,Mouse,mWT,141.06423
mCSF1,2.47,72,Mouse,mWT,49.445875
mCSF1,0.82,72,Mouse,mWT,41.229671
mCSF1,0.27,72,Mouse,mWT,47.715843
mCSF1,0.09,72,Mouse,mWT,32.420791
mCSF1,0.03,72,Mouse,mWT,34.516411
mCSF1,0.01,72,Mouse,mWT,19.490653
