Compound,Concentration,Hour,Species,Variant,Value
GW2580,20000.00,0,Human,G795A,1470.445508
GW2580,6666.67,0,Human,G795A,1569.802041
GW2580,2222.22,0,Human,G795A,1675.538125
GW2580,740.74,0,Human,G795A,1532.309038
GW2580,246.91,0,Human,G795A,1545.238076
GW2580,82.30,0,Human,G795A,1658.787906
GW2580,27.43,0,Human,G795A,1640.638502
GW2580,9.14,0,Human,G795A,1655.27617
GW2580,3.05,0,Human,G795A,1841.065838
GW2580,1.02,0,Human,G795A,1792.720093
GW2580,20000.00,0,Human,G795A,1298.917227
GW2580,6666.67,0,Human,G795A,1689.338575
GW2580,2222.22,0,Human,G795A,1632.896712
GW2580,740.74,0,Human,G795A,1264.025895
GW2580,246.91,0,Human,G795A,1626.47535
GW2580,82.30,0,Human,G795A,1747.110307
GW2580,27.43,0,Human,G795A,1600.682032
GW2580,9.14,0,Human,G795A,1725.525561
GW2580,3.05,0,Human,G795A,1805.989218
GW2580,1.02,0,Human,G795A,1696.561925
GW2580,20000.00,0,Human,G795A,1409.088216
GW2580,6666.67,0,Human,G795A,1559.559658
GW2580,2222.22,0,Human,G795A,1641.872398
GW2580,740.74,0,Human,G795A,1616.781276
GW2580,246.91,0,Human,G795A,1679.028887
GW2580,82.30,0,Human,G795A,1673.595179
GW2580,27.43,0,Human,G795A,1774.397288
GW2580,9.14,0,Human,G795A,1782.969005
GW2580,3.05,0,Human,G795A,1801.3099
GW2580,1.02,0,Human,G795A,1726.072141
BLZ945,20000.00,0,Human,G795A,1522.590968
BLZ945,6666.67,0,Human,G795A,1584.481785
BLZ945,2222.22,0,Human,G795A,1661.915439
BLZ945,740.74,0,Human,G795A,1528.158181
BLZ945,246.91,0,Human,G795A,1521.479858
BLZ945,82.30,0,Human,G795A,1868.16852
BLZ945,27.43,0,Human,G795A,1947.457627
BLZ945,9.14,0,Human,G795A,1825.465163
BLZ945,3.05,0,Human,G795A,1688.622677
BLZ945,1.02,0,Human,G795A,1920.068922
BLZ945,20000.00,0,Human,G795A,1253.510077
BLZ945,6666.67,0,Human,G795A,1592.945563
BLZ945,2222.22,0,Human,G795A,1686.230569
BLZ945,740.74,0,Human,G795A,1258.623394
BLZ945,246.91,0,Human,G795A,1613.63274
BLZ945,82.30,0,Human,G795A,1736.883091
BLZ945,27.43,0,Human,G795A,1492.492058
BLZ945,9.14,0,Human,G795A,1733.484072
BLZ945,3.05,0,Human,G795A,1798.308643
BLZ945,1.02,0,Human,G795A,1592.170825
BLZ945,20000.00,0,Human,G795A,1526.589659
BLZ945,6666.67,0,Human,G795A,1452.130692
BLZ945,2222.22,0,Human,G795A,1690.566701
BLZ945,740.74,0,Human,G795A,1640.832458
BLZ945,246.91,0,Human,G795A,1630.420064
BLZ945,82.30,0,Human,G795A,1678.435645
BLZ945,27.43,0,Human,G795A,1618.976536
BLZ945,9.14,0,Human,G795A,1703.201585
BLZ945,3.05,0,Human,G795A,1791.08157
BLZ945,1.02,0,Human,G795A,1842.77123
