Compound,Concentration,Hour,Species,Variant,Value
hCSF1,200.00,0,Human,G795A,1488.738163
hCSF1,66.67,0,Human,G795A,1471.859165
hCSF1,22.22,0,Human,G795A,1550.690349
hCSF1,7.41,0,Human,G795A,1432.824604
hCSF1,2.47,0,Human,G795A,1495.891806
hCSF1,0.82,0,Human,G795A,1497.897662
hCSF1,0.27,0,Human,G795A,1459.351756
hCSF1,0.09,0,Human,G795A,1496.45382
hCSF1,0.03,0,Human,G795A,1601.982127
hCSF1,0.01,0,Human,G795A,1623.988769
hCSF1,200.00,0,Human,G795A,1358.244259
hCSF1,66.67,0,Human,G795A,1514.816145
hCSF1,22.22,0,Human,G795A,1514.387572
hCSF1,7.41,0,Human,G795A,1475.278736
hCSF1,2.47,0,Human,G795A,1530.450338
hCSF1,0.82,0,Human,G795A,1522.94413
hCSF1,0.27,0,Human,G795A,1433.824346
hCSF1,0.09,0,Human,G795A,1590.009102
hCSF1,0.03,0,Human,G795A,1668.720754
hCSF1,0.01,0,Human,G795A,1540.776613
hCSF1,200.00,0,Human,G795A,1504.881247
hCSF1,66.67,0,Human,G795A,1552.796482
hCSF1,22.22,0,Human,G795A,1474.24624
hCSF1,7.41,0,Human,G795A,1580.505675
hCSF1,2.47,0,Human,G795A,1599.659195
hCSF1,0.82,0,Human,G795A,1606.275315
hCSF1,0.27,0,Human,G795A,1660.195758
hCSF1,0.09,0,Human,G795A,1693.662291
hCSF1,0.03,0,Human,G795A,1623.503301
hCSF1,0.01,0,Human,G795A,1666.702605
mCSF1,200.00,0,Human,G795A,1441.365298
mCSF1,66.67,0,Human,G795A,1515.911606
mCSF1,22.22,0,Human,G795A,1528.468221
mCSF1,7.41,0,Human,G795A,1494.318536
mCSF1,2.47,0,Human,G795A,1565.386482
mCSF1,0.82,0,Human,G795A,1480.664195
mCSF1,0.27,0,Human,G795A,1580.959039
mCSF1,0.09,0,Human,G795A,1647.406287
mCSF1,0.03,0,Human,G795A,1713.255947
mCSF1,0.01,0,Human,G795A,1573.201639
mCSF1,200.00,0,Human,G795A,1273.704272
mCSF1,66.67,0,Human,G795A,1563.320388
mCSF1,22.22,0,Human,G795A,1466.483357
mCSF1,7.41,0,Human,G795A,1333.923274
mCSF1,2.47,0,Human,G795A,1588.13065
mCSF1,0.82,0,Human,G795A,1445.686516
mCSF1,0.27,0,Human,G795A,1474.498373
mCSF1,0.09,0,Human,G795A,1644.341295
mCSF1,0.03,0,Human,G795A,1722.363778
mCSF1,0.01,0,Human,G795A,1505.607193
mCSF1,200.00,0,Human,G795A,1419.882056
mCSF1,66.67,0,Human,G795A,1155.074191
mCSF1,22.22,0,Human,G795A,1485.00337
mCSF1,7.41,0,Human,G795A,1544.747579
mCSF1,2.47,0,Human,G795A,1547.053202
mCSF1,0.82,0,Human,G795A,1418.21782
mCSF1,0.27,0,Human,G795A,1483.157785
mCSF1,0.09,0,Human,G795A,1725.204906
mCSF1,0.03,0,Human,G795A,1601.396296
mCSF1,0.01,0,Human,G795A,1608.356507
