Compound,Concentration,Hour,Species,Variant,Value
hCSF1,200.00,24,Mouse,FVB_WT,12209.10303
hCSF1,66.67,24,Mouse,FVB_WT,7663.538333
hCSF1,22.22,24,Mouse,FVB_WT,6770.276841
hCSF1,7.41,24,Mouse,FVB_WT,5422.974097
hCSF1,2.47,24,Mouse,FVB_WT,3283.478967
hCSF1,0.82,24,Mouse,FVB_WT,2920.9867
hCSF1,0.27,24,Mouse,FVB_WT,2356.553172
hCSF1,0.09,24,Mouse,FVB_WT,2878.133811
hCSF1,0.03,24,Mouse,FVB_WT,1352.279419
hCSF1,0.01,24,Mouse,FVB_WT,1806.345618
hCSF1,200.00,24,Mouse,FVB_WT,27565.70494
hCSF1,66.67,24,Mouse,FVB_WT,10588.17525
hCSF1,22.22,24,Mouse,FVB_WT,6950.577933
hCSF1,7.41,24,Mouse,FVB_WT,14500.51976
hCSF1,2.47,24,Mouse,FVB_WT,4430.878474
hCSF1,0.82,24,Mouse,FVB_WT,2726.223056
hCSF1,0.27,24,Mouse,FVB_WT,3639.762421
hCSF1,0.09,24,Mouse,FVB_WT,3340.71554
hCSF1,0.03,24,Mouse,FVB_WT,1765.821989
hCSF1,0.01,24,Mouse,FVB_WT,1771.205357
mCSF1,200.00,24,Mouse,FVB_WT,14544.14995
mCSF1,66.67,24,Mouse,FVB_WT,24978.66982
mCSF1,22.22,24,Mouse,FVB_WT,21728.41146
mCSF1,7.41,24,Mouse,FVB_WT,10538.31394
mCSF1,2.47,24,Mouse,FVB_WT,5523.357213
mCSF1,0.82,24,Mouse,FVB_WT,3846.740596
mCSF1,0.27,24,Mouse,FVB_WT,3518.648784
mCSF1,0.09,24,Mouse,FVB_WT,2577.538063
mCSF1,0.03,24,Mouse,FVB_WT,2130.579304
mCSF1,0.01,24,Mouse,FVB_WT,2091.339186
mCSF1,200.00,24,Mouse,FVB_WT,14014.99901
mCSF1,66.67,24,Mouse,FVB_WT,39852.84186
mCSF1,22.22,24,Mouse,FVB_WT,30554.58347
mCSF1,7.41,24,Mouse,FVB_WT,13380.05996
mCSF1,2.47,24,Mouse,FVB_WT,5135.991379
mCSF1,0.82,24,Mouse,FVB_WT,3853.173517
mCSF1,0.27,24,Mouse,FVB_WT,3568.200855
mCSF1,0.09,24,Mouse,FVB_WT,3334.450688
mCSF1,0.03,24,Mouse,FVB_WT,2948.573355
mCSF1,0.01,24,Mouse,FVB_WT,2601.243172
PLX3397,20000.00,24,Mouse,FVB_WT,6020.600066
PLX3397,6666.67,24,Mouse,FVB_WT,2787.795351
PLX3397,2222.22,24,Mouse,FVB_WT,1871.09464
PLX3397,740.74,24,Mouse,FVB_WT,1964.223398
PLX3397,246.91,24,Mouse,FVB_WT,1902.995086
PLX3397,82.30,24,Mouse,FVB_WT,2765.445949
PLX3397,27.43,24,Mouse,FVB_WT,4688.63316
PLX3397,9.14,24,Mouse,FVB_WT,6467.862059
PLX3397,3.05,24,Mouse,FVB_WT,12072.86352
PLX3397,1.02,24,Mouse,FVB_WT,19185.87582
PLX3397,20000.00,24,Mouse,FVB_WT,4585.473886
PLX3397,6666.67,24,Mouse,FVB_WT,2877.019782
PLX3397,2222.22,24,Mouse,FVB_WT,1969.422923
PLX3397,740.74,24,Mouse,FVB_WT,1527.966047
PLX3397,246.91,24,Mouse,FVB_WT,2521.262157
PLX3397,82.30,24,Mouse,FVB_WT,4195.327
PLX3397,27.43,24,Mouse,FVB_WT,3713.830437
PLX3397,9.14,24,Mouse,FVB_WT,5408.750216
PLX3397,3.05,24,Mouse,FVB_WT,6688.850511
PLX3397,1.02,24,Mouse,FVB_WT,9271.680767
