Compound,Concentration,Hour,Species,Variant,Value
PLX5622,20000,24,Mouse,G793A,1475.578172
PLX5622,6666.67,24,Mouse,G793A,1193.222802
PLX5622,2222.22,24,Mouse,G793A,1008.043625
PLX5622,740.74,24,Mouse,G793A,1104.482669
PLX5622,246.91,24,Mouse,G793A,1188.127553
PLX5622,82.3,24,Mouse,G793A,1176.682425
PLX5622,27.43,24,Mouse,G793A,1214.517134
PLX5622,9.14,24,Mouse,G793A,1458.765944
PLX5622,3.05,24,Mouse,G793A,1515.898785
PLX5622,1.02,24,Mouse,G793A,1521.841167
PLX5622,20000,24,Mouse,G793A,1127.926698
PLX5622,6666.67,24,Mouse,G793A,1219.539466
PLX5622,2222.22,24,Mouse,G793A,1105.145984
PLX5622,740.74,24,Mouse,G793A,1064.347789
PLX5622,246.91,24,Mouse,G793A,1352.136064
PLX5622,82.3,24,Mouse,G793A,1270.187532
PLX5622,27.43,24,Mouse,G793A,1143.111326
PLX5622,9.14,24,Mouse,G793A,1460.737133
PLX5622,3.05,24,Mouse,G793A,1557.762588
PLX5622,1.02,24,Mouse,G793A,1252.717935
GW2580,20000,24,Mouse,G793A,1322.471169
GW2580,6666.67,24,Mouse,G793A,1487.885201
GW2580,2222.22,24,Mouse,G793A,1305.372357
GW2580,740.74,24,Mouse,G793A,1282.438144
GW2580,246.91,24,Mouse,G793A,1527.595469
GW2580,82.3,24,Mouse,G793A,1468.712075
GW2580,27.43,24,Mouse,G793A,1314.262219
GW2580,9.14,24,Mouse,G793A,1368.126962
GW2580,3.05,24,Mouse,G793A,635.265138
GW2580,1.02,24,Mouse,G793A,1453.630624
GW2580,20000,24,Mouse,G793A,1400.515896
GW2580,6666.67,24,Mouse,G793A,1314.265117
GW2580,2222.22,24,Mouse,G793A,1404.444993
GW2580,740.74,24,Mouse,G793A,1286.855268
GW2580,246.91,24,Mouse,G793A,1441.967739
GW2580,82.3,24,Mouse,G793A,1396.323642
GW2580,27.43,24,Mouse,G793A,1287.34471
GW2580,9.14,24,Mouse,G793A,1360.888048
GW2580,3.05,24,Mouse,G793A,1527.300651
GW2580,1.02,24,Mouse,G793A,1408.838815
BLZ945,20000,24,Mouse,G793A,831.494592
BLZ945,6666.67,24,Mouse,G793A,1030.934648
BLZ945,2222.22,24,Mouse,G793A,1098.591575
BLZ945,740.74,24,Mouse,G793A,920.777143
BLZ945,246.91,24,Mouse,G793A,1216.436796
BLZ945,82.3,24,Mouse,G793A,1333.81184
BLZ945,27.43,24,Mouse,G793A,1067.957215
BLZ945,9.14,24,Mouse,G793A,1286.455995
BLZ945,3.05,24,Mouse,G793A,1517.686973
BLZ945,1.02,24,Mouse,G793A,1205.236364
BLZ945,20000,24,Mouse,G793A,1140.748461
BLZ945,6666.67,24,Mouse,G793A,915.912877
BLZ945,2222.22,24,Mouse,G793A,931.501304
BLZ945,740.74,24,Mouse,G793A,1118.838941
BLZ945,246.91,24,Mouse,G793A,1140.197473
BLZ945,82.3,24,Mouse,G793A,1161.205253
BLZ945,27.43,24,Mouse,G793A,1167.828476
BLZ945,9.14,24,Mouse,G793A,1210.326877
BLZ945,3.05,24,Mouse,G793A,1262.656372
BLZ945,1.02,24,Mouse,G793A,1317.510788
