Compound,Concentration,Hour,Species,Variant,Value
hCSF1,200.00,48,Mouse,G793A,1383.641413
hCSF1,66.67,48,Mouse,G793A,1153.478056
hCSF1,22.22,48,Mouse,G793A,1049.09455
hCSF1,7.41,48,Mouse,G793A,762.255526
hCSF1,2.47,48,Mouse,G793A,605.223412
hCSF1,0.82,48,Mouse,G793A,441.844686
hCSF1,0.27,48,Mouse,G793A,392.068263
hCSF1,0.09,48,Mouse,G793A,423.885459
hCSF1,0.03,48,Mouse,G793A,448.172493
hCSF1,0.01,48,Mouse,G793A,402.426591
hCSF1,200.00,48,Mouse,G793A,1265.599866
hCSF1,66.67,48,Mouse,G793A,1266.691401
hCSF1,22.22,48,Mouse,G793A,887.36264
hCSF1,7.41,48,Mouse,G793A,830.883086
hCSF1,2.47,48,Mouse,G793A,661.120341
hCSF1,0.82,48,Mouse,G793A,562.321935
hCSF1,0.27,48,Mouse,G793A,461.480894
hCSF1,0.09,48,Mouse,G793A,467.659359
hCSF1,0.03,48,Mouse,G793A,458.64642
hCSF1,0.01,48,Mouse,G793A,415.824243
mCSF1,200.00,48,Mouse,G793A,1347.032954
mCSF1,66.67,48,Mouse,G793A,1282.097991
mCSF1,22.22,48,Mouse,G793A,1290.831276
mCSF1,7.41,48,Mouse,G793A,993.8446
mCSF1,2.47,48,Mouse,G793A,672.459193
mCSF1,0.82,48,Mouse,G793A,556.271292
mCSF1,0.27,48,Mouse,G793A,467.903516
mCSF1,0.09,48,Mouse,G793A,490.204143
mCSF1,0.03,48,Mouse,G793A,504.225468
mCSF1,0.01,48,Mouse,G793A,526.068887
mCSF1,200.00,48,Mouse,G793A,1460.066037
mCSF1,66.67,48,Mouse,G793A,1409.474879
mCSF1,22.22,48,Mouse,G793A,1254.019456
mCSF1,7.41,48,Mouse,G793A,967.252878
mCSF1,2.47,48,Mouse,G793A,692.11474
mCSF1,0.82,48,Mouse,G793A,558.757192
mCSF1,0.27,48,Mouse,G793A,495.715917
mCSF1,0.09,48,Mouse,G793A,481.616392
mCSF1,0.03,48,Mouse,G793A,456.591296
mCSF1,0.01,48,Mouse,G793A,464.353649
PLX3397,20000.00,48,Mouse,G793A,709.474693
PLX3397,6666.67,48,Mouse,G793A,692.309237
PLX3397,2222.22,48,Mouse,G793A,439.878379
PLX3397,740.74,48,Mouse,G793A,579.788505
PLX3397,246.91,48,Mouse,G793A,795.667299
PLX3397,82.30,48,Mouse,G793A,845.128089
PLX3397,27.43,48,Mouse,G793A,1157.3004
PLX3397,9.14,48,Mouse,G793A,1101.812079
PLX3397,3.05,48,Mouse,G793A,1166.011148
PLX3397,1.02,48,Mouse,G793A,897.077131
PLX3397,20000.00,48,Mouse,G793A,901.939844
PLX3397,6666.67,48,Mouse,G793A,811.947829
PLX3397,2222.22,48,Mouse,G793A,662.764304
PLX3397,740.74,48,Mouse,G793A,770.131656
PLX3397,246.91,48,Mouse,G793A,1051.205624
PLX3397,82.30,48,Mouse,G793A,1189.211363
PLX3397,27.43,48,Mouse,G793A,1030.199443
PLX3397,9.14,48,Mouse,G793A,1045.154914
PLX3397,3.05,48,Mouse,G793A,1014.589752
PLX3397,1.02,48,Mouse,G793A,804.485395
