Compound,Concentration,Hour,Species,Variant,Value
PLX5622,20000.00,48,Mouse,mWT,1379.452629
PLX5622,6666.67,48,Mouse,mWT,996.330698
PLX5622,2222.22,48,Mouse,mWT,615.89074
PLX5622,740.74,48,Mouse,mWT,434.893934
PLX5622,246.91,48,Mouse,mWT,557.086285
PLX5622,82.30,48,Mouse,mWT,1098.820754
PLX5622,27.43,48,Mouse,mWT,1820.813518
PLX5622,9.14,48,Mouse,mWT,2184.619381
PLX5622,3.05,48,Mouse,mWT,2344.842624
PLX5622,1.02,48,Mouse,mWT,2580.744365
PLX5622,20000.00,48,Mouse,mWT,1331.340866
PLX5622,6666.67,48,Mouse,mWT,1072.659178
PLX5622,2222.22,48,Mouse,mWT,452.345574
PLX5622,740.74,48,Mouse,mWT,579.983654
PLX5622,246.91,48,Mouse,mWT,741.48352
PLX5622,82.30,48,Mouse,mWT,1449.819107
PLX5622,27.43,48,Mouse,mWT,2016.21718
PLX5622,9.14,48,Mouse,mWT,2473.592995
PLX5622,3.05,48,Mouse,mWT,2684.227386
PLX5622,1.02,48,Mouse,mWT,2212.366448
GW2580,20000.00,48,Mouse,mWT,1296.78995
GW2580,6666.67,48,Mouse,mWT,1038.131212
GW2580,2222.22,48,Mouse,mWT,965.013262
GW2580,740.74,48,Mouse,mWT,817.438181
GW2580,246.91,48,Mouse,mWT,1327.002363
GW2580,82.30,48,Mouse,mWT,2414.110386
GW2580,27.43,48,Mouse,mWT,2800.348988
GW2580,9.14,48,Mouse,mWT,2904.497853
GW2580,3.05,48,Mouse,mWT,2787.008815
GW2580,1.02,48,Mouse,mWT,2410.088503
GW2580,20000.00,48,Mouse,mWT,1237.59801
GW2580,6666.67,48,Mouse,mWT,1090.591572
GW2580,2222.22,48,Mouse,mWT,886.333896
GW2580,740.74,48,Mouse,mWT,867.641994
GW2580,246.91,48,Mouse,mWT,1534.72948
GW2580,82.30,48,Mouse,mWT,2582.383717
GW2580,27.43,48,Mouse,mWT,2589.844728
GW2580,9.14,48,Mouse,mWT,2856.420504
GW2580,3.05,48,Mouse,mWT,2774.328666
GW2580,1.02,48,Mouse,mWT,2250.32572
BLZ945,20000.00,48,Mouse,mWT,1059.741645
BLZ945,6666.67,48,Mouse,mWT,724.785647
BLZ945,2222.22,48,Mouse,mWT,580.362503
BLZ945,740.74,48,Mouse,mWT,615.098464
BLZ945,246.91,48,Mouse,mWT,1052.086177
BLZ945,82.30,48,Mouse,mWT,2043.980183
BLZ945,27.43,48,Mouse,mWT,2312.147148
BLZ945,9.14,48,Mouse,mWT,2815.112421
BLZ945,3.05,48,Mouse,mWT,2940.375792
BLZ945,1.02,48,Mouse,mWT,2447.531549
BLZ945,20000.00,48,Mouse,mWT,896.555837
BLZ945,6666.67,48,Mouse,mWT,611.803339
BLZ945,2222.22,48,Mouse,mWT,460.84617
BLZ945,740.74,48,Mouse,mWT,520.133149
BLZ945,246.91,48,Mouse,mWT,860.206992
BLZ945,82.30,48,Mouse,mWT,1597.96878
BLZ945,27.43,48,Mouse,mWT,2057.280487
BLZ945,9.14,48,Mouse,mWT,2229.982091
BLZ945,3.05,48,Mouse,mWT,2360.640834
BLZ945,1.02,48,Mouse,mWT,2389.211609
