Compound,Concentration,Hour,Species,Variant,Value
hCSF1,200.00,48,Mouse,mWT,2204.82307
hCSF1,66.67,48,Mouse,mWT,2260.131639
hCSF1,22.22,48,Mouse,mWT,1958.933343
hCSF1,7.41,48,Mouse,mWT,1257.646605
hCSF1,2.47,48,Mouse,mWT,915.484899
hCSF1,0.82,48,Mouse,mWT,800.900152
hCSF1,0.27,48,Mouse,mWT,667.577564
hCSF1,0.09,48,Mouse,mWT,621.041896
hCSF1,0.03,48,Mouse,mWT,690.543075
hCSF1,0.01,48,Mouse,mWT,736.614599
hCSF1,200.00,48,Mouse,mWT,2065.77894
hCSF1,66.67,48,Mouse,mWT,2496.545469
hCSF1,22.22,48,Mouse,mWT,2388.729387
hCSF1,7.41,48,Mouse,mWT,1442.512377
hCSF1,2.47,48,Mouse,mWT,979.616721
hCSF1,0.82,48,Mouse,mWT,893.989697
hCSF1,0.27,48,Mouse,mWT,759.483702
hCSF1,0.09,48,Mouse,mWT,801.727501
hCSF1,0.03,48,Mouse,mWT,734.895679
hCSF1,0.01,48,Mouse,mWT,720.585689
mCSF1,200.00,48,Mouse,mWT,2483.943038
mCSF1,66.67,48,Mouse,mWT,2565.837371
mCSF1,22.22,48,Mouse,mWT,2401.927883
mCSF1,7.41,48,Mouse,mWT,1477.529124
mCSF1,2.47,48,Mouse,mWT,971.049759
mCSF1,0.82,48,Mouse,mWT,770.56932
mCSF1,0.27,48,Mouse,mWT,854.330323
mCSF1,0.09,48,Mouse,mWT,792.956872
mCSF1,0.03,48,Mouse,mWT,778.195489
mCSF1,0.01,48,Mouse,mWT,706.052974
mCSF1,200.00,48,Mouse,mWT,2009.039782
mCSF1,66.67,48,Mouse,mWT,2361.851248
mCSF1,22.22,48,Mouse,mWT,2400.731133
mCSF1,7.41,48,Mouse,mWT,1331.394328
mCSF1,2.47,48,Mouse,mWT,938.984516
mCSF1,0.82,48,Mouse,mWT,912.614113
mCSF1,0.27,48,Mouse,mWT,824.613043
mCSF1,0.09,48,Mouse,mWT,743.828231
mCSF1,0.03,48,Mouse,mWT,754.09344
mCSF1,0.01,48,Mouse,mWT,688.604504
PLX3397,20000.00,48,Mouse,mWT,1146.586449
PLX3397,6666.67,48,Mouse,mWT,1066.88812
PLX3397,2222.22,48,Mouse,mWT,775.045016
PLX3397,740.74,48,Mouse,mWT,510.831827
PLX3397,246.91,48,Mouse,mWT,510.033597
PLX3397,82.30,48,Mouse,mWT,705.920903
PLX3397,27.43,48,Mouse,mWT,910.657873
PLX3397,9.14,48,Mouse,mWT,1444.227004
PLX3397,3.05,48,Mouse,mWT,1975.9968
PLX3397,1.02,48,Mouse,mWT,1872.1893
PLX3397,20000.00,48,Mouse,mWT,847.82762
PLX3397,6666.67,48,Mouse,mWT,736.588907
PLX3397,2222.22,48,Mouse,mWT,496.374228
PLX3397,740.74,48,Mouse,mWT,388.067672
PLX3397,246.91,48,Mouse,mWT,315.139147
PLX3397,82.30,48,Mouse,mWT,426.127455
PLX3397,27.43,48,Mouse,mWT,612.653124
PLX3397,9.14,48,Mouse,mWT,1172.026579
PLX3397,3.05,48,Mouse,mWT,1676.986837
PLX3397,1.02,48,Mouse,mWT,1953.210622
