Compound,Concentration,Hour,Species,Variant,Value
PLX5622,20000,72,Mouse,FVB_WT,1918.99331
PLX5622,6666.67,72,Mouse,FVB_WT,1081.004041
PLX5622,2222.22,72,Mouse,FVB_WT,694.5860328
PLX5622,740.74,72,Mouse,FVB_WT,642.5274884
PLX5622,246.91,72,Mouse,FVB_WT,739.1308203
PLX5622,82.3,72,Mouse,FVB_WT,777.7628395
PLX5622,27.43,72,Mouse,FVB_WT,1089.451837
PLX5622,9.14,72,Mouse,FVB_WT,1455.91905
PLX5622,3.05,72,Mouse,FVB_WT,1975.650281
PLX5622,1.02,72,Mouse,FVB_WT,2598.572031
PLX5622,20000,72,Mouse,FVB_WT,1753.825792
PLX5622,6666.67,72,Mouse,FVB_WT,1201.646622
PLX5622,2222.22,72,Mouse,FVB_WT,885.507181
PLX5622,740.74,72,Mouse,FVB_WT,714.3778719
PLX5622,246.91,72,Mouse,FVB_WT,750.2426528
PLX5622,82.3,72,Mouse,FVB_WT,817.8326511
PLX5622,27.43,72,Mouse,FVB_WT,1262.683253
PLX5622,9.14,72,Mouse,FVB_WT,1534.709349
PLX5622,3.05,72,Mouse,FVB_WT,2159.027443
PLX5622,1.02,72,Mouse,FVB_WT,4014.474477
GW2580,20000,72,Mouse,FVB_WT,2649.204901
GW2580,6666.67,72,Mouse,FVB_WT,1501.397901
GW2580,2222.22,72,Mouse,FVB_WT,1018.501593
GW2580,740.74,72,Mouse,FVB_WT,874.9185623
GW2580,246.91,72,Mouse,FVB_WT,1281.081937
GW2580,82.3,72,Mouse,FVB_WT,2671.768556
GW2580,27.43,72,Mouse,FVB_WT,3662.961967
GW2580,9.14,72,Mouse,FVB_WT,4820.191669
GW2580,3.05,72,Mouse,FVB_WT,4330.139002
GW2580,1.02,72,Mouse,FVB_WT,3687.203464
GW2580,20000,72,Mouse,FVB_WT,2530.50949
GW2580,6666.67,72,Mouse,FVB_WT,1299.13075
GW2580,2222.22,72,Mouse,FVB_WT,913.2544733
GW2580,740.74,72,Mouse,FVB_WT,870.8937733
GW2580,246.91,72,Mouse,FVB_WT,1537.232746
GW2580,82.3,72,Mouse,FVB_WT,2745.94384
GW2580,27.43,72,Mouse,FVB_WT,3701.253533
GW2580,9.14,72,Mouse,FVB_WT,4405.934645
GW2580,3.05,72,Mouse,FVB_WT,5139.974442
GW2580,1.02,72,Mouse,FVB_WT,5220.493702
BLZ945,20000,72,Mouse,FVB_WT,1233.719193
BLZ945,6666.67,72,Mouse,FVB_WT,779.0510387
BLZ945,2222.22,72,Mouse,FVB_WT,641.5941036
BLZ945,740.74,72,Mouse,FVB_WT,703.1602974
BLZ945,246.91,72,Mouse,FVB_WT,806.2921366
BLZ945,82.3,72,Mouse,FVB_WT,1452.286395
BLZ945,27.43,72,Mouse,FVB_WT,3310.17562
BLZ945,9.14,72,Mouse,FVB_WT,4575.433686
BLZ945,3.05,72,Mouse,FVB_WT,5003.680074
BLZ945,1.02,72,Mouse,FVB_WT,6346.265625
BLZ945,20000,72,Mouse,FVB_WT,1272.569176
BLZ945,6666.67,72,Mouse,FVB_WT,793.8438515
BLZ945,2222.22,72,Mouse,FVB_WT,693.2653549
BLZ945,740.74,72,Mouse,FVB_WT,678.5924286
BLZ945,246.91,72,Mouse,FVB_WT,801.4597707
BLZ945,82.3,72,Mouse,FVB_WT,1600.868332
BLZ945,27.43,72,Mouse,FVB_WT,3475.056798
BLZ945,9.14,72,Mouse,FVB_WT,3863.43329
BLZ945,3.05,72,Mouse,FVB_WT,6150.202104
BLZ945,1.02,72,Mouse,FVB_WT,7627.222873
