Compound,Concentration,Hour,Species,Variant,Value
PLX3397,20000,72,Human,G795A,600.715849
PLX3397,6666.67,72,Human,G795A,345.137031
PLX3397,2222.22,72,Human,G795A,384.891584
PLX3397,740.74,72,Human,G795A,1228.114456
PLX3397,246.91,72,Human,G795A,1326.41708
PLX3397,82.3,72,Human,G795A,1409.637609
PLX3397,27.43,72,Human,G795A,1544.527407
PLX3397,9.14,72,Human,G795A,1538.644643
PLX3397,3.05,72,Human,G795A,1577.794607
PLX3397,1.02,72,Human,G795A,1626.465411
PLX3397,20000,72,Human,G795A,659.663142
PLX3397,6666.67,72,Human,G795A,367.710784
PLX3397,2222.22,72,Human,G795A,469.401532
PLX3397,740.74,72,Human,G795A,1129.715647
PLX3397,246.91,72,Human,G795A,1230.146844
PLX3397,82.3,72,Human,G795A,1404.137988
PLX3397,27.43,72,Human,G795A,1404.096678
PLX3397,9.14,72,Human,G795A,1542.586692
PLX3397,3.05,72,Human,G795A,1615.067079
PLX3397,1.02,72,Human,G795A,1581.609615
PLX3397,20000,72,Human,G795A,687.154604
PLX3397,6666.67,72,Human,G795A,347.23312
PLX3397,2222.22,72,Human,G795A,436.784371
PLX3397,740.74,72,Human,G795A,1298.805112
PLX3397,246.91,72,Human,G795A,1457.386418
PLX3397,82.3,72,Human,G795A,1515.474583
PLX3397,27.43,72,Human,G795A,1505.859779
PLX3397,9.14,72,Human,G795A,1704.304896
PLX3397,3.05,72,Human,G795A,1651.183515
PLX3397,1.02,72,Human,G795A,1602.112807
PLX5622,20000,72,Human,G795A,593.742552
PLX5622,6666.67,72,Human,G795A,391.573696
PLX5622,2222.22,72,Human,G795A,796.713853
PLX5622,740.74,72,Human,G795A,1191.486036
PLX5622,246.91,72,Human,G795A,1452.930338
PLX5622,82.3,72,Human,G795A,1554.751526
PLX5622,27.43,72,Human,G795A,1461.978376
PLX5622,9.14,72,Human,G795A,1538.296153
PLX5622,3.05,72,Human,G795A,1541.792743
PLX5622,1.02,72,Human,G795A,1699.749065
PLX5622,20000,72,Human,G795A,674.582942
PLX5622,6666.67,72,Human,G795A,376.296586
PLX5622,2222.22,72,Human,G795A,770.208746
PLX5622,740.74,72,Human,G795A,1097.547499
PLX5622,246.91,72,Human,G795A,1450.708853
PLX5622,82.3,72,Human,G795A,1429.208185
PLX5622,27.43,72,Human,G795A,1278.417908
PLX5622,9.14,72,Human,G795A,1543.195346
PLX5622,3.05,72,Human,G795A,1406.869244
PLX5622,1.02,72,Human,G795A,1503.548995
PLX5622,20000,72,Human,G795A,676.1608
PLX5622,6666.67,72,Human,G795A,324.786214
PLX5622,2222.22,72,Human,G795A,718.886888
PLX5622,740.74,72,Human,G795A,1092.12804
PLX5622,246.91,72,Human,G795A,1301.425545
PLX5622,82.3,72,Human,G795A,1373.622148
PLX5622,27.43,72,Human,G795A,1393.291872
PLX5622,9.14,72,Human,G795A,1441.272806
PLX5622,3.05,72,Human,G795A,1526.665039
PLX5622,1.02,72,Human,G795A,1579.487844
