Compound,Concentration,Hour,Species,Variant,Value
PLX3397,20000,96,Human,hWT,616.038559
PLX3397,6666.67,96,Human,hWT,247.484464
PLX3397,2222.22,96,Human,hWT,139.413594
PLX3397,740.74,96,Human,hWT,130.064388
PLX3397,246.91,96,Human,hWT,165.634193
PLX3397,82.3,96,Human,hWT,471.303633
PLX3397,27.43,96,Human,hWT,718.480931
PLX3397,9.14,96,Human,hWT,905.083587
PLX3397,3.05,96,Human,hWT,785.398541
PLX3397,1.02,96,Human,hWT,808.483787
PLX3397,20000,96,Human,hWT,466.356479
PLX3397,6666.67,96,Human,hWT,351.553866
PLX3397,2222.22,96,Human,hWT,138.748773
PLX3397,740.74,96,Human,hWT,122.767739
PLX3397,246.91,96,Human,hWT,167.657886
PLX3397,82.3,96,Human,hWT,453.233756
PLX3397,27.43,96,Human,hWT,710.164067
PLX3397,9.14,96,Human,hWT,689.252209
PLX3397,3.05,96,Human,hWT,770.568846
PLX3397,1.02,96,Human,hWT,587.540758
PLX3397,20000,96,Human,hWT,616.005869
PLX3397,6666.67,96,Human,hWT,295.412222
PLX3397,2222.22,96,Human,hWT,188.375826
PLX3397,740.74,96,Human,hWT,155.23047
PLX3397,246.91,96,Human,hWT,189.846683
PLX3397,82.3,96,Human,hWT,529.084728
PLX3397,27.43,96,Human,hWT,870.056825
PLX3397,9.14,96,Human,hWT,830.547954
PLX3397,3.05,96,Human,hWT,751.708867
PLX3397,1.02,96,Human,hWT,804.586605
PLX5622,20000,96,Human,hWT,524.763167
PLX5622,6666.67,96,Human,hWT,306.298246
PLX5622,2222.22,96,Human,hWT,166.489386
PLX5622,740.74,96,Human,hWT,167.185205
PLX5622,246.91,96,Human,hWT,230.119219
PLX5622,82.3,96,Human,hWT,354.029656
PLX5622,27.43,96,Human,hWT,483.72195
PLX5622,9.14,96,Human,hWT,500.350118
PLX5622,3.05,96,Human,hWT,638.204526
PLX5622,1.02,96,Human,hWT,584.345656
PLX5622,20000,96,Human,hWT,554.282372
PLX5622,6666.67,96,Human,hWT,232.367904
PLX5622,2222.22,96,Human,hWT,137.88938
PLX5622,740.74,96,Human,hWT,153.846419
PLX5622,246.91,96,Human,hWT,232.373391
PLX5622,82.3,96,Human,hWT,336.349091
PLX5622,27.43,96,Human,hWT,430.734361
PLX5622,9.14,96,Human,hWT,456.849148
PLX5622,3.05,96,Human,hWT,629.586452
PLX5622,1.02,96,Human,hWT,666.131542
PLX5622,20000,96,Human,hWT,533.808503
PLX5622,6666.67,96,Human,hWT,192.613338
PLX5622,2222.22,96,Human,hWT,137.540617
PLX5622,740.74,96,Human,hWT,136.13611
PLX5622,246.91,96,Human,hWT,215.191952
PLX5622,82.3,96,Human,hWT,309.948828
PLX5622,27.43,96,Human,hWT,402.690505
PLX5622,9.14,96,Human,hWT,476.633418
PLX5622,3.05,96,Human,hWT,599.862401
PLX5622,1.02,96,Human,hWT,593.294219
