Compound,Concentration,Hour,Species,Variant,Value
GW2580,20000,96,Human,hWT,557.987747
GW2580,6666.67,96,Human,hWT,298.95311
GW2580,2222.22,96,Human,hWT,171.08324
GW2580,740.74,96,Human,hWT,290.198434
GW2580,246.91,96,Human,hWT,521.544029
GW2580,82.3,96,Human,hWT,620.955394
GW2580,27.43,96,Human,hWT,683.644296
GW2580,9.14,96,Human,hWT,619.009691
GW2580,3.05,96,Human,hWT,695.001347
GW2580,1.02,96,Human,hWT,692.837958
GW2580,20000,96,Human,hWT,534.283673
GW2580,6666.67,96,Human,hWT,333.692726
GW2580,2222.22,96,Human,hWT,233.647509
GW2580,740.74,96,Human,hWT,219.891012
GW2580,246.91,96,Human,hWT,562.02436
GW2580,82.3,96,Human,hWT,646.811392
GW2580,27.43,96,Human,hWT,706.36796
GW2580,9.14,96,Human,hWT,633.116205
GW2580,3.05,96,Human,hWT,657.171556
GW2580,1.02,96,Human,hWT,611.065251
GW2580,20000,96,Human,hWT,596.787783
GW2580,6666.67,96,Human,hWT,336.953742
GW2580,2222.22,96,Human,hWT,197.664268
GW2580,740.74,96,Human,hWT,314.834829
GW2580,246.91,96,Human,hWT,566.443966
GW2580,82.3,96,Human,hWT,644.336936
GW2580,27.43,96,Human,hWT,650.124581
GW2580,9.14,96,Human,hWT,675.57549
GW2580,3.05,96,Human,hWT,641.474765
GW2580,1.02,96,Human,hWT,600.886844
BLZ945,20000,96,Human,hWT,249.092939
BLZ945,6666.67,96,Human,hWT,207.099696
BLZ945,2222.22,96,Human,hWT,176.873401
BLZ945,740.74,96,Human,hWT,252.606503
BLZ945,246.91,96,Human,hWT,393.408158
BLZ945,82.3,96,Human,hWT,587.30396
BLZ945,27.43,96,Human,hWT,617.298457
BLZ945,9.14,96,Human,hWT,655.929893
BLZ945,3.05,96,Human,hWT,680.797064
BLZ945,1.02,96,Human,hWT,641.574671
BLZ945,20000,96,Human,hWT,293.786279
BLZ945,6666.67,96,Human,hWT,177.725067
BLZ945,2222.22,96,Human,hWT,194.971032
BLZ945,740.74,96,Human,hWT,222.436691
BLZ945,246.91,96,Human,hWT,374.441984
BLZ945,82.3,96,Human,hWT,501.613848
BLZ945,27.43,96,Human,hWT,598.938706
BLZ945,9.14,96,Human,hWT,620.355991
BLZ945,3.05,96,Human,hWT,639.659587
BLZ945,1.02,96,Human,hWT,548.91707
BLZ945,20000,96,Human,hWT,186.415784
BLZ945,6666.67,96,Human,hWT,159.230159
BLZ945,2222.22,96,Human,hWT,137.840643
BLZ945,740.74,96,Human,hWT,186.243202
BLZ945,246.91,96,Human,hWT,339.81377
BLZ945,82.3,96,Human,hWT,450.301841
BLZ945,27.43,96,Human,hWT,506.208674
BLZ945,9.14,96,Human,hWT,606.251173
BLZ945,3.05,96,Human,hWT,562.928945
BLZ945,1.02,96,Human,hWT,593.824162
