Compound,Concentration,Hour,Species,Variant,Value
PLX5622,20000.00,0,Mouse,FVB_WT,5768.136161
PLX5622,6666.67,0,Mouse,FVB_WT,5677.402076
PLX5622,2222.22,0,Mouse,FVB_WT,5238.952825
PLX5622,740.74,0,Mouse,FVB_WT,5129.296875
PLX5622,246.91,0,Mouse,FVB_WT,6760.79761
PLX5622,82.30,0,Mouse,FVB_WT,6298.417468
PLX5622,27.43,0,Mouse,FVB_WT,7261.398078
PLX5622,9.14,0,Mouse,FVB_WT,8082.999703
PLX5622,3.05,0,Mouse,FVB_WT,7125.742738
PLX5622,1.02,0,Mouse,FVB_WT,8770.413008
PLX5622,20000.00,0,Mouse,FVB_WT,3353.331265
PLX5622,6666.67,0,Mouse,FVB_WT,4774.259677
PLX5622,2222.22,0,Mouse,FVB_WT,5508.82751
PLX5622,740.74,0,Mouse,FVB_WT,4998.264509
PLX5622,246.91,0,Mouse,FVB_WT,6197.13261
PLX5622,82.30,0,Mouse,FVB_WT,4897.815066
PLX5622,27.43,0,Mouse,FVB_WT,6719.766687
PLX5622,9.14,0,Mouse,FVB_WT,5812.072554
PLX5622,3.05,0,Mouse,FVB_WT,8779.860954
PLX5622,1.02,0,Mouse,FVB_WT,6050.176008
GW2580,20000.00,0,Mouse,FVB_WT,5324.215194
GW2580,6666.67,0,Mouse,FVB_WT,6233.51908
GW2580,2222.22,0,Mouse,FVB_WT,6018.103011
GW2580,740.74,0,Mouse,FVB_WT,5289.465256
GW2580,246.91,0,Mouse,FVB_WT,4151.439814
GW2580,82.30,0,Mouse,FVB_WT,5715.867127
GW2580,27.43,0,Mouse,FVB_WT,4926.213956
GW2580,9.14,0,Mouse,FVB_WT,5830.351666
GW2580,3.05,0,Mouse,FVB_WT,5684.414063
GW2580,1.02,0,Mouse,FVB_WT,5368.962837
GW2580,20000.00,0,Mouse,FVB_WT,4885.716099
GW2580,6666.67,0,Mouse,FVB_WT,4544.768335
GW2580,2222.22,0,Mouse,FVB_WT,4603.77414
GW2580,740.74,0,Mouse,FVB_WT,4467.118104
GW2580,246.91,0,Mouse,FVB_WT,4389.248571
GW2580,82.30,0,Mouse,FVB_WT,4458.541127
GW2580,27.43,0,Mouse,FVB_WT,5366.643051
GW2580,9.14,0,Mouse,FVB_WT,5103.929967
GW2580,3.05,0,Mouse,FVB_WT,5388.396639
GW2580,1.02,0,Mouse,FVB_WT,7388.536286
BLZ945,20000.00,0,Mouse,FVB_WT,6119.055329
BLZ945,6666.67,0,Mouse,FVB_WT,4847.868546
BLZ945,2222.22,0,Mouse,FVB_WT,3275.942477
BLZ945,740.74,0,Mouse,FVB_WT,4298.578074
BLZ945,246.91,0,Mouse,FVB_WT,3958.525451
BLZ945,82.30,0,Mouse,FVB_WT,4632.583248
BLZ945,27.43,0,Mouse,FVB_WT,5828.239183
BLZ945,9.14,0,Mouse,FVB_WT,5296.899902
BLZ945,3.05,0,Mouse,FVB_WT,8210.324246
BLZ945,1.02,0,Mouse,FVB_WT,6018.76473
BLZ945,20000.00,0,Mouse,FVB_WT,6907.378472
BLZ945,6666.67,0,Mouse,FVB_WT,5863.051878
BLZ945,2222.22,0,Mouse,FVB_WT,4849.806788
BLZ945,740.74,0,Mouse,FVB_WT,4417.172835
BLZ945,246.91,0,Mouse,FVB_WT,5521.245968
BLZ945,82.30,0,Mouse,FVB_WT,5967.251587
BLZ945,27.43,0,Mouse,FVB_WT,6248.488451
BLZ945,9.14,0,Mouse,FVB_WT,5141.912022
BLZ945,3.05,0,Mouse,FVB_WT,6400.01028
BLZ945,1.02,0,Mouse,FVB_WT,8797.959988
