Compound,Concentration,Hour,Species,Variant,Value
hCSF1,200,0,Mouse,FVB_WT,5518.947592
hCSF1,66.67,0,Mouse,FVB_WT,4421.488307
hCSF1,22.22,0,Mouse,FVB_WT,4174.272405
hCSF1,7.41,0,Mouse,FVB_WT,4305.206371
hCSF1,2.47,0,Mouse,FVB_WT,4904.447724
hCSF1,0.82,0,Mouse,FVB_WT,4876.843677
hCSF1,0.27,0,Mouse,FVB_WT,3915.552021
hCSF1,0.09,0,Mouse,FVB_WT,5092.975715
hCSF1,0.03,0,Mouse,FVB_WT,3884.670496
hCSF1,0.01,0,Mouse,FVB_WT,3782.062287
hCSF1,200,0,Mouse,FVB_WT,8951.688945
hCSF1,66.67,0,Mouse,FVB_WT,5026.432446
hCSF1,22.22,0,Mouse,FVB_WT,3594.258679
hCSF1,7.41,0,Mouse,FVB_WT,8057.350728
hCSF1,2.47,0,Mouse,FVB_WT,4407.593857
hCSF1,0.82,0,Mouse,FVB_WT,3778.14375
hCSF1,0.27,0,Mouse,FVB_WT,5678.294343
hCSF1,0.09,0,Mouse,FVB_WT,2708.617948
hCSF1,0.03,0,Mouse,FVB_WT,3886.616709
hCSF1,0.01,0,Mouse,FVB_WT,3705.590767
mCSF1,200,0,Mouse,FVB_WT,6528.368002
mCSF1,66.67,0,Mouse,FVB_WT,5164.832217
mCSF1,22.22,0,Mouse,FVB_WT,5109.260774
mCSF1,7.41,0,Mouse,FVB_WT,4673.038651
mCSF1,2.47,0,Mouse,FVB_WT,6424.923598
mCSF1,0.82,0,Mouse,FVB_WT,5753.422318
mCSF1,0.27,0,Mouse,FVB_WT,4349.789063
mCSF1,0.09,0,Mouse,FVB_WT,3729.353559
mCSF1,0.03,0,Mouse,FVB_WT,4125.530947
mCSF1,0.01,0,Mouse,FVB_WT,4144.196173
mCSF1,200,0,Mouse,FVB_WT,6980.229419
mCSF1,66.67,0,Mouse,FVB_WT,6856.880493
mCSF1,22.22,0,Mouse,FVB_WT,4950.802109
mCSF1,7.41,0,Mouse,FVB_WT,7013.600128
mCSF1,2.47,0,Mouse,FVB_WT,5829.63278
mCSF1,0.82,0,Mouse,FVB_WT,5457.418721
mCSF1,0.27,0,Mouse,FVB_WT,6188.882549
mCSF1,0.09,0,Mouse,FVB_WT,5695.496805
mCSF1,0.03,0,Mouse,FVB_WT,4756.594696
mCSF1,0.01,0,Mouse,FVB_WT,3802.428297
PLX3397,20000,0,Mouse,FVB_WT,14145.71289
PLX3397,6666.67,0,Mouse,FVB_WT,6718.093627
PLX3397,2222.22,0,Mouse,FVB_WT,5648.066406
PLX3397,740.74,0,Mouse,FVB_WT,8810.966492
PLX3397,246.91,0,Mouse,FVB_WT,7825.548968
PLX3397,82.3,0,Mouse,FVB_WT,5897.443824
PLX3397,27.43,0,Mouse,FVB_WT,6210.842483
PLX3397,9.14,0,Mouse,FVB_WT,4161.719173
PLX3397,3.05,0,Mouse,FVB_WT,6330.170172
PLX3397,1.02,0,Mouse,FVB_WT,7775.227922
PLX3397,20000,0,Mouse,FVB_WT,9409.254808
PLX3397,6666.67,0,Mouse,FVB_WT,7134.766261
PLX3397,2222.22,0,Mouse,FVB_WT,7560.47148
PLX3397,740.74,0,Mouse,FVB_WT,5092.303711
PLX3397,246.91,0,Mouse,FVB_WT,6554.366438
PLX3397,82.3,0,Mouse,FVB_WT,6153.567448
PLX3397,27.43,0,Mouse,FVB_WT,4294.552927
PLX3397,9.14,0,Mouse,FVB_WT,4239.342115
PLX3397,3.05,0,Mouse,FVB_WT,4615.409921
PLX3397,1.02,0,Mouse,FVB_WT,5477.729611
