Compound,Concentration,Hour,Species,Variant,Value
PLX3397,20000.00,0,Human,G795A,1353.587039
PLX3397,6666.67,0,Human,G795A,1515.143847
PLX3397,2222.22,0,Human,G795A,1621.761014
PLX3397,740.74,0,Human,G795A,1438.21191
PLX3397,246.91,0,Human,G795A,1445.784041
PLX3397,82.30,0,Human,G795A,1492.716923
PLX3397,27.43,0,Human,G795A,1525.112854
PLX3397,9.14,0,Human,G795A,1452.221889
PLX3397,3.05,0,Human,G795A,1551.114744
PLX3397,1.02,0,Human,G795A,1753.165569
PLX3397,20000.00,0,Human,G795A,1283.57103
PLX3397,6666.67,0,Human,G795A,1517.284694
PLX3397,2222.22,0,Human,G795A,1701.66938
PLX3397,740.74,0,Human,G795A,1363.851128
PLX3397,246.91,0,Human,G795A,1577.583512
PLX3397,82.30,0,Human,G795A,1566.200784
PLX3397,27.43,0,Human,G795A,1490.822846
PLX3397,9.14,0,Human,G795A,1647.715212
PLX3397,3.05,0,Human,G795A,1690.246931
PLX3397,1.02,0,Human,G795A,1492.497449
PLX3397,20000.00,0,Human,G795A,1511.074623
PLX3397,6666.67,0,Human,G795A,1515.494205
PLX3397,2222.22,0,Human,G795A,1550.445026
PLX3397,740.74,0,Human,G795A,1299.077035
PLX3397,246.91,0,Human,G795A,1617.273378
PLX3397,82.30,0,Human,G795A,1599.598924
PLX3397,27.43,0,Human,G795A,1528.358717
PLX3397,9.14,0,Human,G795A,1411.175934
PLX3397,3.05,0,Human,G795A,1608.434772
PLX3397,1.02,0,Human,G795A,1561.285554
PLX5622,20000.00,0,Human,G795A,1377.418969
PLX5622,6666.67,0,Human,G795A,1539.652638
PLX5622,2222.22,0,Human,G795A,1410.921345
PLX5622,740.74,0,Human,G795A,1583.611053
PLX5622,246.91,0,Human,G795A,1551.444152
PLX5622,82.30,0,Human,G795A,1730.639459
PLX5622,27.43,0,Human,G795A,1624.739043
PLX5622,9.14,0,Human,G795A,1620.2608
PLX5622,3.05,0,Human,G795A,1738.994664
PLX5622,1.02,0,Human,G795A,1569.655028
PLX5622,20000.00,0,Human,G795A,1327.163768
PLX5622,6666.67,0,Human,G795A,1573.911182
PLX5622,2222.22,0,Human,G795A,1508.34476
PLX5622,740.74,0,Human,G795A,1269.955969
PLX5622,246.91,0,Human,G795A,1510.420465
PLX5622,82.30,0,Human,G795A,1478.616095
PLX5622,27.43,0,Human,G795A,1444.496706
PLX5622,9.14,0,Human,G795A,1779.104154
PLX5622,3.05,0,Human,G795A,1562.514941
PLX5622,1.02,0,Human,G795A,1473.400338
PLX5622,20000.00,0,Human,G795A,1526.553786
PLX5622,6666.67,0,Human,G795A,1465.952928
PLX5622,2222.22,0,Human,G795A,1497.776041
PLX5622,740.74,0,Human,G795A,1409.351913
PLX5622,246.91,0,Human,G795A,1443.452843
PLX5622,82.30,0,Human,G795A,1481.576759
PLX5622,27.43,0,Human,G795A,1462.793181
PLX5622,9.14,0,Human,G795A,1610.003915
PLX5622,3.05,0,Human,G795A,1583.007758
PLX5622,1.02,0,Human,G795A,1605.176984
