Compound,Concentration,Hour,Species,Variant,Value
hCSF1,200.00,0,Mouse,mWT,1413.507068
hCSF1,66.67,0,Mouse,mWT,1437.510432
hCSF1,22.22,0,Mouse,mWT,1368.563467
hCSF1,7.41,0,Mouse,mWT,1251.721362
hCSF1,2.47,0,Mouse,mWT,1400.673771
hCSF1,0.82,0,Mouse,mWT,1615.303562
hCSF1,0.27,0,Mouse,mWT,1371.682644
hCSF1,0.09,0,Mouse,mWT,1480.334669
hCSF1,0.03,0,Mouse,mWT,1594.982176
hCSF1,0.01,0,Mouse,mWT,1824.023303
hCSF1,200.00,0,Mouse,mWT,1347.918411
hCSF1,66.67,0,Mouse,mWT,1603.491034
hCSF1,22.22,0,Mouse,mWT,1591.800667
hCSF1,7.41,0,Mouse,mWT,1436.085549
hCSF1,2.47,0,Mouse,mWT,1574.110134
hCSF1,0.82,0,Mouse,mWT,1758.072788
hCSF1,0.27,0,Mouse,mWT,1544.238425
hCSF1,0.09,0,Mouse,mWT,1907.633874
hCSF1,0.03,0,Mouse,mWT,1755.438086
hCSF1,0.01,0,Mouse,mWT,1606.120443
mCSF1,200.00,0,Mouse,mWT,1559.536159
mCSF1,66.67,0,Mouse,mWT,1512.78877
mCSF1,22.22,0,Mouse,mWT,1528.68851
mCSF1,7.41,0,Mouse,mWT,1664.675013
mCSF1,2.47,0,Mouse,mWT,1608.937816
mCSF1,0.82,0,Mouse,mWT,1473.873372
mCSF1,0.27,0,Mouse,mWT,1921.165091
mCSF1,0.09,0,Mouse,mWT,1832.11149
mCSF1,0.03,0,Mouse,mWT,1897.327167
mCSF1,0.01,0,Mouse,mWT,1722.04966
mCSF1,200.00,0,Mouse,mWT,1267.667603
mCSF1,66.67,0,Mouse,mWT,1401.24287
mCSF1,22.22,0,Mouse,mWT,1485.755345
mCSF1,7.41,0,Mouse,mWT,1460.423401
mCSF1,2.47,0,Mouse,mWT,1574.799609
mCSF1,0.82,0,Mouse,mWT,1954.242941
mCSF1,0.27,0,Mouse,mWT,1813.720987
mCSF1,0.09,0,Mouse,mWT,1792.929499
mCSF1,0.03,0,Mouse,mWT,1796.815164
mCSF1,0.01,0,Mouse,mWT,1744.0139
PLX3397,20000.00,0,Mouse,mWT,1494.154082
PLX3397,6666.67,0,Mouse,mWT,1588.957338
PLX3397,2222.22,0,Mouse,mWT,1581.915343
PLX3397,740.74,0,Mouse,mWT,1262.871174
PLX3397,246.91,0,Mouse,mWT,1446.543377
PLX3397,82.30,0,Mouse,mWT,1769.796898
PLX3397,27.43,0,Mouse,mWT,1626.882332
PLX3397,9.14,0,Mouse,mWT,1771.057826
PLX3397,3.05,0,Mouse,mWT,1924.691847
PLX3397,1.02,0,Mouse,mWT,1655.43416
PLX3397,20000.00,0,Mouse,mWT,1445.264996
PLX3397,6666.67,0,Mouse,mWT,1321.00753
PLX3397,2222.22,0,Mouse,mWT,1318.384692
PLX3397,740.74,0,Mouse,mWT,1284.436698
PLX3397,246.91,0,Mouse,mWT,1137.224592
PLX3397,82.30,0,Mouse,mWT,1361.88913
PLX3397,27.43,0,Mouse,mWT,1227.48378
PLX3397,9.14,0,Mouse,mWT,1448.706289
PLX3397,3.05,0,Mouse,mWT,1729.299373
PLX3397,1.02,0,Mouse,mWT,1857.463583
