Compound,Concentration,Hour,Species,Variant,Value
PLX3397,20000.00,24,Human,hWT,1881.816624
PLX3397,6666.67,24,Human,hWT,1583.003108
PLX3397,2222.22,24,Human,hWT,1257.702649
PLX3397,740.74,24,Human,hWT,1095.512392
PLX3397,246.91,24,Human,hWT,1284.329668
PLX3397,82.30,24,Human,hWT,1925.166709
PLX3397,27.43,24,Human,hWT,2133.951808
PLX3397,9.14,24,Human,hWT,2493.710153
PLX3397,3.05,24,Human,hWT,2507.14166
PLX3397,1.02,24,Human,hWT,2598.431748
PLX3397,20000.00,24,Human,hWT,1729.66052
PLX3397,6666.67,24,Human,hWT,1882.737746
PLX3397,2222.22,24,Human,hWT,1379.768363
PLX3397,740.74,24,Human,hWT,1233.456049
PLX3397,246.91,24,Human,hWT,1439.122438
PLX3397,82.30,24,Human,hWT,1870.024182
PLX3397,27.43,24,Human,hWT,2347.265821
PLX3397,9.14,24,Human,hWT,2495.487326
PLX3397,3.05,24,Human,hWT,2765.458199
PLX3397,1.02,24,Human,hWT,2317.587184
PLX3397,20000.00,24,Human,hWT,1822.784297
PLX3397,6666.67,24,Human,hWT,1723.135809
PLX3397,2222.22,24,Human,hWT,1317.154488
PLX3397,740.74,24,Human,hWT,1267.436089
PLX3397,246.91,24,Human,hWT,1458.065036
PLX3397,82.30,24,Human,hWT,2032.495847
PLX3397,27.43,24,Human,hWT,2492.662275
PLX3397,9.14,24,Human,hWT,2593.571091
PLX3397,3.05,24,Human,hWT,2760.000251
PLX3397,1.02,24,Human,hWT,2460.524118
PLX5622,20000.00,24,Human,hWT,1767.24737
PLX5622,6666.67,24,Human,hWT,1765.687237
PLX5622,2222.22,24,Human,hWT,1407.744238
PLX5622,740.74,24,Human,hWT,1389.39507
PLX5622,246.91,24,Human,hWT,1815.912975
PLX5622,82.30,24,Human,hWT,2571.264444
PLX5622,27.43,24,Human,hWT,2839.588918
PLX5622,9.14,24,Human,hWT,2881.142704
PLX5622,3.05,24,Human,hWT,2977.905584
PLX5622,1.02,24,Human,hWT,2656.918035
PLX5622,20000.00,24,Human,hWT,1728.36458
PLX5622,6666.67,24,Human,hWT,1607.801927
PLX5622,2222.22,24,Human,hWT,1309.076824
PLX5622,740.74,24,Human,hWT,1376.105816
PLX5622,246.91,24,Human,hWT,1898.619413
PLX5622,82.30,24,Human,hWT,2491.021707
PLX5622,27.43,24,Human,hWT,2751.463057
PLX5622,9.14,24,Human,hWT,2833.275641
PLX5622,3.05,24,Human,hWT,3187.715169
PLX5622,1.02,24,Human,hWT,2429.115967
PLX5622,20000.00,24,Human,hWT,1836.834604
PLX5622,6666.67,24,Human,hWT,1445.408608
PLX5622,2222.22,24,Human,hWT,1307.399321
PLX5622,740.74,24,Human,hWT,1214.262478
PLX5622,246.91,24,Human,hWT,1860.970404
PLX5622,82.30,24,Human,hWT,2469.158115
PLX5622,27.43,24,Human,hWT,2497.449671
PLX5622,9.14,24,Human,hWT,2554.648491
PLX5622,3.05,24,Human,hWT,2937.720176
PLX5622,1.02,24,Human,hWT,2724.97079
