Compound,Concentration,Hour,Species,Variant,Value
hCSF1,200.00,24,Human,hWT,2757.188208
hCSF1,66.67,24,Human,hWT,2302.260814
hCSF1,22.22,24,Human,hWT,2079.009939
hCSF1,7.41,24,Human,hWT,1470.116172
hCSF1,2.47,24,Human,hWT,1492.401259
hCSF1,0.82,24,Human,hWT,1247.225732
hCSF1,0.27,24,Human,hWT,1066.975773
hCSF1,0.09,24,Human,hWT,1135.58998
hCSF1,0.03,24,Human,hWT,1132.435632
hCSF1,0.01,24,Human,hWT,1550.665732
hCSF1,200.00,24,Human,hWT,2185.283082
hCSF1,66.67,24,Human,hWT,2573.875515
hCSF1,22.22,24,Human,hWT,2340.399569
hCSF1,7.41,24,Human,hWT,1602.616087
hCSF1,2.47,24,Human,hWT,1477.857817
hCSF1,0.82,24,Human,hWT,1406.187495
hCSF1,0.27,24,Human,hWT,1286.009242
hCSF1,0.09,24,Human,hWT,1326.366631
hCSF1,0.03,24,Human,hWT,915.0767
hCSF1,0.01,24,Human,hWT,1295.364467
hCSF1,200.00,24,Human,hWT,2553.270445
hCSF1,66.67,24,Human,hWT,2632.726622
hCSF1,22.22,24,Human,hWT,2284.345282
hCSF1,7.41,24,Human,hWT,1816.407125
hCSF1,2.47,24,Human,hWT,1331.407257
hCSF1,0.82,24,Human,hWT,1417.314873
hCSF1,0.27,24,Human,hWT,1377.415792
hCSF1,0.09,24,Human,hWT,1300.296374
hCSF1,0.03,24,Human,hWT,1388.899956
hCSF1,0.01,24,Human,hWT,1214.106663
mCSF1,200.00,24,Human,hWT,1602.39569
mCSF1,66.67,24,Human,hWT,1510.422321
mCSF1,22.22,24,Human,hWT,1331.080492
mCSF1,7.41,24,Human,hWT,1313.326925
mCSF1,2.47,24,Human,hWT,1289.564371
mCSF1,0.82,24,Human,hWT,1284.100877
mCSF1,0.27,24,Human,hWT,1199.244597
mCSF1,0.09,24,Human,hWT,1263.971592
mCSF1,0.03,24,Human,hWT,1177.831846
mCSF1,0.01,24,Human,hWT,1247.728384
mCSF1,200.00,24,Human,hWT,1639.995808
mCSF1,66.67,24,Human,hWT,1595.177676
mCSF1,22.22,24,Human,hWT,1408.563874
mCSF1,7.41,24,Human,hWT,1197.859385
mCSF1,2.47,24,Human,hWT,1495.995745
mCSF1,0.82,24,Human,hWT,1290.798211
mCSF1,0.27,24,Human,hWT,1198.172874
mCSF1,0.09,24,Human,hWT,1271.412265
mCSF1,0.03,24,Human,hWT,1175.747775
mCSF1,0.01,24,Human,hWT,1322.028028
mCSF1,200.00,24,Human,hWT,1666.011476
mCSF1,66.67,24,Human,hWT,1546.672628
mCSF1,22.22,24,Human,hWT,1350.07098
mCSF1,7.41,24,Human,hWT,1140.527331
mCSF1,2.47,24,Human,hWT,1263.0281
mCSF1,0.82,24,Human,hWT,1290.26779
mCSF1,0.27,24,Human,hWT,1130.353982
mCSF1,0.09,24,Human,hWT,950.848952
mCSF1,0.03,24,Human,hWT,1178.66021
mCSF1,0.01,24,Human,hWT,1176.025966
