Compound,Concentration,Hour,Species,Variant,Value
GW2580,20000,72,Human,hWT,1031.464291
GW2580,6666.67,72,Human,hWT,560.417686
GW2580,2222.22,72,Human,hWT,307.611101
GW2580,740.74,72,Human,hWT,506.71605
GW2580,246.91,72,Human,hWT,1096.339566
GW2580,82.3,72,Human,hWT,1406.887283
GW2580,27.43,72,Human,hWT,1490.766654
GW2580,9.14,72,Human,hWT,1385.730382
GW2580,3.05,72,Human,hWT,1551.907399
GW2580,1.02,72,Human,hWT,1507.606002
GW2580,20000,72,Human,hWT,911.741875
GW2580,6666.67,72,Human,hWT,608.817036
GW2580,2222.22,72,Human,hWT,422.8006
GW2580,740.74,72,Human,hWT,391.18678
GW2580,246.91,72,Human,hWT,1098.602979
GW2580,82.3,72,Human,hWT,1404.282924
GW2580,27.43,72,Human,hWT,1471.044067
GW2580,9.14,72,Human,hWT,1370.533421
GW2580,3.05,72,Human,hWT,1394.391683
GW2580,1.02,72,Human,hWT,1352.746342
GW2580,20000,72,Human,hWT,1020.365422
GW2580,6666.67,72,Human,hWT,620.812462
GW2580,2222.22,72,Human,hWT,367.481534
GW2580,740.74,72,Human,hWT,541.137119
GW2580,246.91,72,Human,hWT,1118.726799
GW2580,82.3,72,Human,hWT,1345.13108
GW2580,27.43,72,Human,hWT,1354.720437
GW2580,9.14,72,Human,hWT,1352.974621
GW2580,3.05,72,Human,hWT,1331.735383
GW2580,1.02,72,Human,hWT,1409.947787
BLZ945,20000,72,Human,hWT,458.842959
BLZ945,6666.67,72,Human,hWT,331.336667
BLZ945,2222.22,72,Human,hWT,273.95139
BLZ945,740.74,72,Human,hWT,434.80621
BLZ945,246.91,72,Human,hWT,782.604865
BLZ945,82.3,72,Human,hWT,1193.110803
BLZ945,27.43,72,Human,hWT,1201.52925
BLZ945,9.14,72,Human,hWT,1341.361297
BLZ945,3.05,72,Human,hWT,1425.639681
BLZ945,1.02,72,Human,hWT,1432.461918
BLZ945,20000,72,Human,hWT,533.386304
BLZ945,6666.67,72,Human,hWT,289.706368
BLZ945,2222.22,72,Human,hWT,298.218781
BLZ945,740.74,72,Human,hWT,379.292505
BLZ945,246.91,72,Human,hWT,721.933694
BLZ945,82.3,72,Human,hWT,994.173846
BLZ945,27.43,72,Human,hWT,1194.180457
BLZ945,9.14,72,Human,hWT,1276.350248
BLZ945,3.05,72,Human,hWT,1332.569981
BLZ945,1.02,72,Human,hWT,1196.72256
BLZ945,20000,72,Human,hWT,392.92609
BLZ945,6666.67,72,Human,hWT,267.384974
BLZ945,2222.22,72,Human,hWT,214.021925
BLZ945,740.74,72,Human,hWT,360.025389
BLZ945,246.91,72,Human,hWT,701.28742
BLZ945,82.3,72,Human,hWT,960.817833
BLZ945,27.43,72,Human,hWT,1133.57471
BLZ945,9.14,72,Human,hWT,1315.676509
BLZ945,3.05,72,Human,hWT,1284.528386
BLZ945,1.02,72,Human,hWT,1367.329842
