Compound,Concentration,Hour,Species,Variant,Value
PLX5622,20000,96,Mouse,G793A,759.985285
PLX5622,6666.67,96,Mouse,G793A,404.98987
PLX5622,2222.22,96,Mouse,G793A,222.759803
PLX5622,740.74,96,Mouse,G793A,445.78079
PLX5622,246.91,96,Mouse,G793A,869.087406
PLX5622,82.3,96,Mouse,G793A,1100.826897
PLX5622,27.43,96,Mouse,G793A,1041.393334
PLX5622,9.14,96,Mouse,G793A,1180.243354
PLX5622,3.05,96,Mouse,G793A,1318.703485
PLX5622,1.02,96,Mouse,G793A,1160.46809
PLX5622,20000,96,Mouse,G793A,676.120141
PLX5622,6666.67,96,Mouse,G793A,439.777102
PLX5622,2222.22,96,Mouse,G793A,289.252537
PLX5622,740.74,96,Mouse,G793A,604.393895
PLX5622,246.91,96,Mouse,G793A,1076.536155
PLX5622,82.3,96,Mouse,G793A,1247.281652
PLX5622,27.43,96,Mouse,G793A,1128.340199
PLX5622,9.14,96,Mouse,G793A,1403.914139
PLX5622,3.05,96,Mouse,G793A,1464.994415
PLX5622,1.02,96,Mouse,G793A,1134.49768
GW2580,20000,96,Mouse,G793A,1570.893741
GW2580,6666.67,96,Mouse,G793A,1838.589474
GW2580,2222.22,96,Mouse,G793A,1518.336215
GW2580,740.74,96,Mouse,G793A,1441.636561
GW2580,246.91,96,Mouse,G793A,1527.774697
GW2580,82.3,96,Mouse,G793A,1406.543641
GW2580,27.43,96,Mouse,G793A,1275.586101
GW2580,9.14,96,Mouse,G793A,1374.024199
GW2580,3.05,96,Mouse,G793A,573.780331
GW2580,1.02,96,Mouse,G793A,1341.836491
GW2580,20000,96,Mouse,G793A,1609.934168
GW2580,6666.67,96,Mouse,G793A,1717.221339
GW2580,2222.22,96,Mouse,G793A,1596.707956
GW2580,740.74,96,Mouse,G793A,1383.61558
GW2580,246.91,96,Mouse,G793A,1316.467196
GW2580,82.3,96,Mouse,G793A,1308.4774
GW2580,27.43,96,Mouse,G793A,1306.857792
GW2580,9.14,96,Mouse,G793A,1365.528317
GW2580,3.05,96,Mouse,G793A,1394.849966
GW2580,1.02,96,Mouse,G793A,1266.725131
BLZ945,20000,96,Mouse,G793A,283.636412
BLZ945,6666.67,96,Mouse,G793A,208.652979
BLZ945,2222.22,96,Mouse,G793A,401.829558
BLZ945,740.74,96,Mouse,G793A,779.764241
BLZ945,246.91,96,Mouse,G793A,1161.812334
BLZ945,82.3,96,Mouse,G793A,1340.065082
BLZ945,27.43,96,Mouse,G793A,1110.467093
BLZ945,9.14,96,Mouse,G793A,1213.473682
BLZ945,3.05,96,Mouse,G793A,1394.551289
BLZ945,1.02,96,Mouse,G793A,1025.816758
BLZ945,20000,96,Mouse,G793A,335.082825
BLZ945,6666.67,96,Mouse,G793A,154.885009
BLZ945,2222.22,96,Mouse,G793A,303.452566
BLZ945,740.74,96,Mouse,G793A,797.20306
BLZ945,246.91,96,Mouse,G793A,1045.576451
BLZ945,82.3,96,Mouse,G793A,1159.20183
BLZ945,27.43,96,Mouse,G793A,1157.780847
BLZ945,9.14,96,Mouse,G793A,1095.682923
BLZ945,3.05,96,Mouse,G793A,1185.194191
BLZ945,1.02,96,Mouse,G793A,1139.964051
