Compound,Concentration,Hour,Species,Variant,Value
hCSF1,200,96,Mouse,G793A,1563.895506
hCSF1,66.67,96,Mouse,G793A,1263.350194
hCSF1,22.22,96,Mouse,G793A,776.366325
hCSF1,7.41,96,Mouse,G793A,290.840292
hCSF1,2.47,96,Mouse,G793A,168.514032
hCSF1,0.82,96,Mouse,G793A,106.221108
hCSF1,0.27,96,Mouse,G793A,89.535471
hCSF1,0.09,96,Mouse,G793A,103.250445
hCSF1,0.03,96,Mouse,G793A,92.032797
hCSF1,0.01,96,Mouse,G793A,79.136549
hCSF1,200,96,Mouse,G793A,1409.560845
hCSF1,66.67,96,Mouse,G793A,1450.133738
hCSF1,22.22,96,Mouse,G793A,671.683389
hCSF1,7.41,96,Mouse,G793A,307.018206
hCSF1,2.47,96,Mouse,G793A,184.870331
hCSF1,0.82,96,Mouse,G793A,135.573062
hCSF1,0.27,96,Mouse,G793A,120.039471
hCSF1,0.09,96,Mouse,G793A,107.92406
hCSF1,0.03,96,Mouse,G793A,101.76078
hCSF1,0.01,96,Mouse,G793A,92.472406
mCSF1,200,96,Mouse,G793A,1730.98076
mCSF1,66.67,96,Mouse,G793A,1571.596284
mCSF1,22.22,96,Mouse,G793A,1028.90554
mCSF1,7.41,96,Mouse,G793A,303.955578
mCSF1,2.47,96,Mouse,G793A,168.779333
mCSF1,0.82,96,Mouse,G793A,166.361019
mCSF1,0.27,96,Mouse,G793A,130.337649
mCSF1,0.09,96,Mouse,G793A,116.732761
mCSF1,0.03,96,Mouse,G793A,115.272382
mCSF1,0.01,96,Mouse,G793A,110.723919
mCSF1,200,96,Mouse,G793A,1847.200806
mCSF1,66.67,96,Mouse,G793A,1795.590814
mCSF1,22.22,96,Mouse,G793A,843.44011
mCSF1,7.41,96,Mouse,G793A,293.460755
mCSF1,2.47,96,Mouse,G793A,160.355586
mCSF1,0.82,96,Mouse,G793A,145.322855
mCSF1,0.27,96,Mouse,G793A,125.780812
mCSF1,0.09,96,Mouse,G793A,117.240296
mCSF1,0.03,96,Mouse,G793A,121.421093
mCSF1,0.01,96,Mouse,G793A,99.842703
PLX3397,20000,96,Mouse,G793A,382.761278
PLX3397,6666.67,96,Mouse,G793A,305.782706
PLX3397,2222.22,96,Mouse,G793A,126.646742
PLX3397,740.74,96,Mouse,G793A,216.785685
PLX3397,246.91,96,Mouse,G793A,542.958397
PLX3397,82.3,96,Mouse,G793A,711.828122
PLX3397,27.43,96,Mouse,G793A,1149.772511
PLX3397,9.14,96,Mouse,G793A,1101.818191
PLX3397,3.05,96,Mouse,G793A,1302.334105
PLX3397,1.02,96,Mouse,G793A,846.110342
PLX3397,20000,96,Mouse,G793A,518.739786
PLX3397,6666.67,96,Mouse,G793A,363.445934
PLX3397,2222.22,96,Mouse,G793A,193.622673
PLX3397,740.74,96,Mouse,G793A,295.550024
PLX3397,246.91,96,Mouse,G793A,715.992053
PLX3397,82.3,96,Mouse,G793A,1060.492817
PLX3397,27.43,96,Mouse,G793A,998.967872
PLX3397,9.14,96,Mouse,G793A,1082.121362
PLX3397,3.05,96,Mouse,G793A,1037.569062
PLX3397,1.02,96,Mouse,G793A,768.811953
