Compound,Concentration,Hour,Species,Variant,Value
PLX5622,20000,96,Mouse,mWT,795.18008
PLX5622,6666.67,96,Mouse,mWT,467.164227
PLX5622,2222.22,96,Mouse,mWT,218.258023
PLX5622,740.74,96,Mouse,mWT,124.123492
PLX5622,246.91,96,Mouse,mWT,159.744718
PLX5622,82.3,96,Mouse,mWT,228.419094
PLX5622,27.43,96,Mouse,mWT,421.83468
PLX5622,9.14,96,Mouse,mWT,702.009925
PLX5622,3.05,96,Mouse,mWT,876.836485
PLX5622,1.02,96,Mouse,mWT,998.547894
PLX5622,20000,96,Mouse,mWT,805.066157
PLX5622,6666.67,96,Mouse,mWT,495.04519
PLX5622,2222.22,96,Mouse,mWT,133.507302
PLX5622,740.74,96,Mouse,mWT,151.231455
PLX5622,246.91,96,Mouse,mWT,204.479024
PLX5622,82.3,96,Mouse,mWT,335.220255
PLX5622,27.43,96,Mouse,mWT,533.455841
PLX5622,9.14,96,Mouse,mWT,756.244014
PLX5622,3.05,96,Mouse,mWT,1056.402885
PLX5622,1.02,96,Mouse,mWT,972.87188
GW2580,20000,96,Mouse,mWT,662.987591
GW2580,6666.67,96,Mouse,mWT,423.709045
GW2580,2222.22,96,Mouse,mWT,330.572898
GW2580,740.74,96,Mouse,mWT,217.080991
GW2580,246.91,96,Mouse,mWT,364.567238
GW2580,82.3,96,Mouse,mWT,924.187012
GW2580,27.43,96,Mouse,mWT,1274.185625
GW2580,9.14,96,Mouse,mWT,1327.875782
GW2580,3.05,96,Mouse,mWT,1354.315159
GW2580,1.02,96,Mouse,mWT,1234.165563
GW2580,20000,96,Mouse,mWT,641.769765
GW2580,6666.67,96,Mouse,mWT,446.069311
GW2580,2222.22,96,Mouse,mWT,291.940224
GW2580,740.74,96,Mouse,mWT,231.008532
GW2580,246.91,96,Mouse,mWT,446.315036
GW2580,82.3,96,Mouse,mWT,1058.22958
GW2580,27.43,96,Mouse,mWT,1246.753892
GW2580,9.14,96,Mouse,mWT,1383.816991
GW2580,3.05,96,Mouse,mWT,1412.824581
GW2580,1.02,96,Mouse,mWT,1184.005716
BLZ945,20000,96,Mouse,mWT,430.872924
BLZ945,6666.67,96,Mouse,mWT,197.167937
BLZ945,2222.22,96,Mouse,mWT,148.605646
BLZ945,740.74,96,Mouse,mWT,136.351153
BLZ945,246.91,96,Mouse,mWT,231.118516
BLZ945,82.3,96,Mouse,mWT,566.726704
BLZ945,27.43,96,Mouse,mWT,1013.800538
BLZ945,9.14,96,Mouse,mWT,1298.387425
BLZ945,3.05,96,Mouse,mWT,1376.463925
BLZ945,1.02,96,Mouse,mWT,1237.442278
BLZ945,20000,96,Mouse,mWT,351.092911
BLZ945,6666.67,96,Mouse,mWT,156.536445
BLZ945,2222.22,96,Mouse,mWT,118.805932
BLZ945,740.74,96,Mouse,mWT,120.397572
BLZ945,246.91,96,Mouse,mWT,174.444557
BLZ945,82.3,96,Mouse,mWT,445.294248
BLZ945,27.43,96,Mouse,mWT,804.507933
BLZ945,9.14,96,Mouse,mWT,1087.48099
BLZ945,3.05,96,Mouse,mWT,1079.166561
BLZ945,1.02,96,Mouse,mWT,1186.302665
